const_code,constituency,win_party,win_votes,second_party,second_votes,margin
130,Kaiserganj,BSP,38911,SP,20889,18022
131,Fakharpur,BSP,38983,SP,38547,436
132,Mahsi,BJP,50286,BSP,49845,441
133,Nanpara,BSP,54965,BJP,34439,20526
134,Charda,SP,33541,BJP,31859,1682
135,Bhinga,BSP,28707,INC,28616,91
136,Bahraich,SP,45984,BSP,43540,2444
137,Ikauna,BSP,39427,BJP,32185,7242
138,Gainsari,BSP,44893,SP,38456,6437
139,Tulsipur,BJP,39250,SP,32751,6499
140,Balrampur,BSP,25180,INC,23269,1911
141,Utraula,BJP,37000,SP,32195,4805
142,Sadullanagar,SP,40850,BJP,28749,12101
143,Mankapur,SP,43256,BSP,38634,4622
144,Mujehna,SP,46600,BSP,37684,8916
145,Gonda,BSP,39600,SP,36958,2642
146,Katra Bazar,SP,46776,BJP,42297,4479
147,Colonelganj,BSP,50283,SP,40546,9737
148,Dixir,BSP,41618,BJP,38260,3358
149,Harraiya,SP,46411,BSP,41266,5145
150,Captainganj,BSP,47372,IND,28852,18520
151,Nagar East,BSP,43419,SP,32413,11006
152,Basti,BSP,37258,INC,27478,9780
153,Ramnagar,BSP,41580,INC,35979,5601
154,Domariaganj,BSP,44765,BJP,28923,15842
155,Itwa,SP,42950,BSP,40622,2328
156,Shohratgarh,INC,33716,BSP,31524,2192
157,Naugarh,INC,30417,BJP,24071,6346
158,Bansi,SP,38648,BJP,36134,2514
159,Khesraha,BSP,47522,SP,40588,6934
160,Menhdawal,SP,35947,BSP,29374,6573
161,Khalilabad,BSP,41497,SP,31841,9656
162,Hainsarbazar,BSP,47815,INC,39018,8797
163,Bansgaon,BSP,41586,BJP,39302,2284
164,Dhuriapar,SP,36514,BSP,35955,559
165,Chillupar,BSP,54107,ABLTC,47174,6933
166,Kauriram,BSP,56072,SP,42148,13924
167,Mundera Bazar,INC,38552,BSP,29823,8729
168,Pipraich,SP,56019,IND,29961,26058
169,Gorakhpur,BJP,49715,SP,27323,22392
170,Maniram,BJP,47657,SP,44409,3248
171,Sahjanwa,IND,43751,BSP,40694,3057
172,Paniara,BSP,52007,SP,48117,3890
173,Pharenda,BJP,40327,BSP,31413,8914
174,Lakshmipur,SP,64377,RJD,45244,19133
175,Siswa,BJP,51206,SP,43835,7371
176,Maharajganj,SP,38529,BSP,37640,889
177,Shyam Deurwa,SP,48351,BJP,37503,10848
178,Naurangia,BJP,38308,SP,35118,3190
