const_code,constituency,win_party,win_votes,second_party,second_votes,None of the Above,margin,percent
99,Sirsaganj,SP,90281,BJP,79605,1552,10676,5.26
100,Kasganj,BJP,101908,SP,49878,2023,52030,23.64
101,Amanpur,BJP,85199,SP,43395,1242,41804,22.75
102,Patiyali,BJP,72414,SP,68643,1556,3771,1.86
103,Aliganj,BJP,88695,SP,74844,1572,13851,6.39
104,Etah,BJP,82516,SP,61387,1277,21129,10.48
105,Marhara,BJP,92507,SP,59075,1351,33432,17.47
106,Jalesar,BJP,81502,SP,61694,1188,19808,10.73
107,Mainpuri,SP,75787,BJP,66956,1157,8831,4.49
108,Bhongaon,BJP,92697,SP,72400,1242,20297,10.37
109,Kishani (SC),SP,80475,BJP,63946,1070,16529,9.21
110,Karhal,SP,104221,BJP,65816,1014,38405,18.26
111,Gunnaur,BJP,107344,SP,95958,2639,11386,5
112,Bisauli,BJP,100287,SP,89599,2342,10688,4.67
113,Sahaswan,SP,77543,BSP,73274,2902,4269,1.77
114,Bilsi,BJP,82070,BSP,55091,1930,26979,13.76
115,Badaun,BJP,87314,SP,70847,1509,16467,7.74
116,Shekhupur,BJP,93702,SP,70316,1896,23386,9.91
117,Dataganj,BJP,79110,BSP,53351,1971,25759,11.46
118,Baheri,BJP,108846,BSP,66009,1479,42837,17.29
119,Meerganj,BJP,108789,BSP,54289,1749,54500,25.92
120,Bhojipura,BJP,100381,SP,72617,1763,27764,11.63
121,Nawabganj,BJP,93711,SP,54569,1860,39142,18.18
122,Faridpur,BJP,83656,SP,58935,1831,24721,13
123,Bithari Chainpur,BJP,96397,SP,76886,2647,19511,8.3
124,Bareilly,BJP,115010,INC,86343,1421,28667,12.81
125,Bareilly Cantt.,BJP,88441,INC,75777,1061,12664,6.9
126,Aonla,BJP,63165,SP,59619,1794,3546,1.95
127,Pilibhit,BJP,136486,SP,93130,1818,43356,17.22
128,Barkhera,BJP,104595,SP,46665,2307,57930,27.34
129,Puranpur,BJP,128493,SP,89251,2246,39242,15.9
130,Bisalpur,BJP,103498,INC,62502,2301,40996,18.39
131,Katra,BJP,76509,SP,59779,1830,16730,8.67
132,Jalalabad,SP,75326,BJP,66029,1614,9297,4.46
133,Tilhar,BJP,81770,INC,76065,1683,5705,2.79
134,Powayan,BJP,126635,SP,54218,2065,72417,31.59
135,Shahjahanpur,BJP,100734,SP,81531,1151,19203,9.32
136,Dadraul,BJP,86435,SP,69037,2383,17398,8.03
137,PALIA,BJP,118069,INC,48841,2077,69228,29.87
138,NIGHASAN,BJP,107487,SP,61364,2663,46123,20.76
139,GOLA GOKRANNATH,BJP,122497,SP,67480,3022,55017,21.93
140,SRI NAGAR,BJP,112941,SP,58002,2141,54939,24.65
141,DHAURAHRA,BJP,79809,SP,76456,3360,3353,1.51
142,LAKHIMPUR,BJP,122677,SP,84929,2434,37748,14.77
143,KASTA,BJP,92824,SP,68551,1978,24273,11.56
144,MOHAMMDI,BJP,93000,INC,59082,2330,33918,15.48
145,Maholi,BJP,80938,SP,77221,1665,3717,1.54
146,Sitapur,BJP,98850,SP,74011,1842,24839,10.61
147,Hargaon,BJP,101680,BSP,56685,2220,44995,20.34
148,Laharpur,BJP,79467,BSP,70349,2861,9118,3.97
149,Biswan,BJP,81907,SP,71672,2080,10235,4.49
150,Sevata,BJP,94697,BSP,51038,2990,43659,20.39
151,Mahmoodabad,SP,81469,BJP,79563,1898,1906,0.9
152,Sidhauli,BSP,78506,SP,75996,2169,2510,1.08
153,Misrikh,BJP,86403,BSP,65731,2222,20672,9.41
154,Sawaijpur,BJP,92601,SP,65631,1831,26970,11.63
155,Shahabad,BJP,99624,BSP,95364,2615,4260,1.94
156,Hardoi,SP,97735,BJP,92626,2203,5109,2.22
157,Gopamau,BJP,87871,SP,56493,2252,31378,15.45
158,Sandi,BJP,72044,INC,51819,2222,20225,10.89
159,Bilgram-Mallanwan,BJP,83405,SP,75380,1826,8025,3.62
160,Balamau,BJP,74917,BSP,52029,2005,22888,12.17
161,Sandila,BJP,90362,SP,69959,1532,20403,10.27
162,Bangermau,BJP,87657,SP,59330,1873,28327,14.02
163,Safipur,BJP,84068,BSP,56832,1820,27236,13.81
164,Mohan,BJP,104884,BSP,50789,2235,54095,26.71
165,Unnao,BJP,119669,SP,73597,1843,46072,19.91
166,Bhagwantnagar,BJP,103698,BSP,50332,2730,53366,22.77
167,Purwa,BSP,97567,BJP,71084,2719,26483,10.81
168,Malihabad,BJP,94677,SP,72009,1692,22668,9.95
169,Bakshi Kaa Talab,BJP,96482,BSP,78898,2271,17584,6.64
170,Sarojini Nagar,BJP,108506,SP,74327,1926,34179,11.75
171,Lucknow West,BJP,93022,SP,79950,635,13072,6.01
172,Lucknow North,BJP,109315,SP,82039,1370,27276,12.05
173,Lucknow East,BJP,135167,INC,55937,1747,79230,34.73
174,Lucknow Central,BJP,78400,SP,73306,824,5094,2.61
175,175-LUCKNOW CANTT.,BJP,95402,SP,61606,1150,33796,18.03
176,Mohanlalganj,SP,71574,BSP,71044,3471,530,0.24
177,Bachhrawan,BJP,65324,INC,43015,3325,22309,11.26
178,Tiloi,BJP,96119,BSP,52072,2567,44047,22.5
179,Harchandpur,INC,65104,BJP,61452,2376,3652,1.97
180,Rae Bareli,INC,128319,BSP,39156,3448,89163,43.01
181,Salon,BJP,78028,INC,61973,3540,16055,8.32
