A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
233,Baberu,GEN,Vishambhar Singh,M,SP,41642,Brij Mohan Singh,M,BSP,40494,1148
222,Babina,GEN,Krishna Pal Singh Rajpoot,M,BSP,68144,Chandrapal Singh Yadav,M,SP,61189,6955
177,Bachhrawan,(SC),Ram Lal Akela,M,SP,59576,Sushil Kumar Pasi,M,RSBP,31628,27948
115,Badaun,GEN,Abid Raza Khan,M,SP,62786,Mahesh Chandra Gupta,M,BJP,47373,15413
364,Badlapur,GEN,Om Prakash 'Baba' Dubey,M,SP,65278,Lalji Yadav,M,BSP,49085,16193
52,Baghpat,GEN,Hemlata Chaudhary,F,BSP,56957,Kawkab Hameed Khan,M,RLD,49294,7663
94,Bah,GEN,Raja Mahendra Aridaman Singh,M,SP,99379,Madhusudan Sharma,M,BSP,72908,26471
118,Baheri,GEN,Ataurrehman,M,SP,48172,Chhatra Pal Singh,M,BJP,48154,18
286,Bahraich,GEN,Dr. Waqar Ahmad Shah,M,SP,50759,Chandra Shekhar Singh,M,INC,35263,15496
363,Bairia,GEN,Jai Prakash Anchal,M,SP,46092,Bharat,M,BJP,45534,558
169,Bakshi Kaa Talab,GEN,Gomti Yadav,M,SP,79629,Nakul Dubey,M,BSP,77730,1899
160,Balamau,(SC),Anil Verma,M,SP,67800,Rampal Verma,M,BSP,67627,173
85,Baldev,(SC),Pooran Prakash,M,RLD,79364,Chandrabhan Singh,M,BSP,47270,32094
282,Balha,(SC),Savitri Bai Fule,F,BJP,58823,Kiran Bharti,F,BSP,38895,19928
361,Ballia Nagar,GEN,Narad Rai,M,SP,58875,Sathi Ramji Gupta,M,QED,33747,25128
294,Balrampur,(SC),Jagram Paswan,M,SP,47120,Ramapati Shastri,M,BJP,28858,18262
235,Banda,GEN,Vivek Kumar Singh,M,INC,49455,Dinesh Chandra Shukla (Lala),M,BSP,41853,7602
162,Bangarmau,GEN,Badlu Khan,M,SP,55528,Mohd. Irshad Khan,M,BSP,48733,6795
362,Bansdih,GEN,Ram Govind,M,SP,52085,Ketakee,F,BJP,29208,22877
327,Bansgaon,(SC),Dr. Vijay Kumar,M,BSP,53690,Sharda Devi,F,SP,45344,8346
304,Bansi,GEN,Jai Pratap Singh,M,BJP,47323,Lal Ji,M,SP,44429,2894
264,Bara,(SC),Dr.Ajay Kumar,M,SP,46182,Bholanath Chaudhary,M,BSP,42426,3756
268,Barabanki,GEN,Dharam Raj,M,SP,82343,Sangram Singh,M,BSP,59573,22770
72,Barauli,GEN,Dalveer Singh,M,RLD,80440,Thakur Jayveer Singh,M,BSP,68417,12023
51,Baraut,GEN,Lokesh Dixit,M,BSP,57209,Ashwani Kumar,M,RLD,51533,5676
124,Bareilly,GEN,Dr. Arun Kumar,M,BJP,68983,Dr. Anil Sharma,M,SP,41921,27062
125,Bareilly Cantt.,GEN,Rajesh Agarwal,M,BJP,51893,Fahim Sabir Ansari,M,SP,32944,18949
342,Barhaj,GEN,Prem Prakash Singh,M,SP,65672,Renu Jaiswal,F,BSP,53896,11776
19,Barhapur,GEN,Mohd.Ghazi,M,BSP,68436,Indra Dev Singh,M,BJP,41061,27375
128,Barkhera,GEN,Hemraj Verma,M,SP,69256,Jaidrath Alias Prawaktanand,M,BJP,38882,30374
310,Basti Sadar,GEN,Jeetendra Kumar,M,BSP,53011,Abhishek Pal,M,INC,34008,19003
1,Behat,GEN,Mahaveer Singh Rana,M,BSP,70274,Naresh,M,INC,69760,514
357,Belthara Road,(SC),Gorakh Paswan,M,SP,57363,Chhathu Ram,M,BSP,47066,10297
392,Bhadohi,GEN,Jahid Beg,M,SP,78698,Ravindranath Tripathi,M,BSP,62457,16241
166,Bhagwant Nagar,GEN,Kuldeep Singh Sengar,M,SP,69514,Poonam Shukla,F,BJP,45685,23829
201,Bharthana,(SC),Sukh Devi Verma,F,SP,85964,Raghvendra Kumar,M,BSP,67999,17965
340,Bhatpar Rani,GEN,Ashutosh Upadhyay,M,SP,73100,Sabhakunwar,M,SBSP,38998,34102
289,Bhinga,GEN,Indrani Devi,F,SP,65365,Muhammad Aslam,M,INC,58538,6827
208,Bhognipur,GEN,Yogendra Pal Singh,M,SP,57555,Dharm Pal Singh,M,BSP,52902,4653
120,Bhojipura,GEN,Shazil Islam,M,IEMC,65531,Virendra Singh Gangwar,M,SP,47583,17948
195,Bhojpur,GEN,Jamaluddin Siddiqui,M,SP,51650,Mukesh Rajput,M,JaKP,33021,18629
108,Bhongaon,GEN,Alok Kumar,M,SP,70298,Ashish Singh Alias Rahul Rathor,M,BSP,39622,30676
202,Bidhuna,GEN,Pramod Kumar,M,SP,72226,Devesh Kumar,M,BSP,54120,18106
22,Bijnor,GEN,Kunvar Bharatendra,M,BJP,68969,Mahboob,M,BSP,51133,17836
274,Bikapur,GEN,Mitrasen Yadav,M,SP,55232,Firoz Khan Urf Gabbar,M,BSP,53364,1868
30,Bilari,GEN,Mhd.Irfan,M,SP,55694,Lakhan Singh Saini,M,BSP,54154,1540
36,Bilaspur,GEN,Sanjay Kapoor,M,INC,52818,Beena Bhardwaj,F,SP,42641,10177
159,Bilgram Mallanwan,GEN,Brijesh Kumar,M,BSP,64768,Krishna Kumar Singh Alias Satish Verma,M,SP,57440,7328
209,Bilhaur,(SC),Aruna Kumari Kori,F,SP,87804,Kamlesh Chandra Divakar,M,BSP,71747,16057
114,Bilsi,GEN,Musarrat Ali Bittan,M,BSP,57600,Vimal Krishan Aggrawal,M,SP,49272,8328
239,Bindki,GEN,Sukhadev Prasad Verma,M,BSP,49090,Rajendra Singh Patel,M,BJP,41128,7962
130,Bisalpur,GEN,Agys Ramsaran Verma,M,BJP,111735,Anis Ahmad Khan Alias Phool Babu,M,INC,55664,56071
112,Bisauli,(SC),Ashutosh Maurya Urf Raju,M,SP,89457,Priti Sagar Urf Pushpa Rani,F,BSP,46467,42990
247,Bishwavnathganj,GEN,Raja Ram,M,SP,49138,Sindhuja Mishra Senani,F,BSP,39951,9187
149,Biswan,GEN,Rampal Yadav,M,SP,74441,Nirmal Verma,M,BSP,67092,7349
123,Bithari Chainpur,GEN,Virendra Singh,M,BSP,55972,Dharmendra Kumar,M,SP,52557,3415
210,Bithoor,GEN,Munindra Shukla,M,SP,61081,Dr.Ram Prakash Kushwaha,M,BSP,60410,671
11,Budhana,GEN,Nawazish Alam Khan,M,SP,68210,Rajpal Singh Baliyan,M,RLD,57622,10588
65,Bulandshahr,GEN,Mohd. Aleem Khan,M,BSP,76646,Virendra Singh Sirohi,M,BJP,69699,6947
320,Caimpiyarganj,GEN,Fateh Bahadur,M,NCP,71906,Chinta Yadav,F,SP,62948,8958
253,Chail,GEN,Mohd Ashif Jafri,M,BSP,54796,Chandra Bali,M,SP,53506,1290
383,Chakia,(SC),Poonam,F,SP,91285,Jitendra Kumar,M,BSP,82603,8682
35,Chamraua,GEN,Ali Yusuf Ali,M,BSP,37083,Naseer Ahmad Khan,M,SP,35237,1846
31,Chandausi,(SC),Laxmi Gautam,F,SP,55871,Gulab Devi,F,BJP,51864,4007
23,Chandpur,GEN,Iqbal,M,BSP,54941,Shairbaz Khan,M,SP,39928,15013
231,Charkhari,GEN,Uma Bharti,F,BJP,66888,Kaptan Singh,M,SP,41623,25265
12,Charthawal,GEN,Noor Saleem Rana,M,BSP,53481,Vijay Kumar,M,BJP,40775,12706
326,Chauri Chaura,GEN,Jay Prakash,M,BSP,49687,Anoop Kumar Pandey,M,SP,29086,20601
395,Chhanbey,(SC),Bhai Lal Kol,M,SP,57488,Shashi Bhushan,M,BSP,47194,10294
50,Chhaprauli,GEN,Vir Pal,M,RLD,69394,Dev Pal Singh,M,BSP,47823,21571
74,Chharra,GEN,Rakesh Kumar,M,SP,54150,Mool Chand Baghel,M,BSP,49364,4786
81,Chhata,GEN,Tejpal Singh,M,RLD,94757,Laxminarayan,M,BSP,80163,14594
196,Chhibramau,GEN,Arvind Singh Yadav,M,SP,70372,Tahir Husain Siddiqui,M,BSP,67946,2426
328,Chillupar,GEN,Rajesh Tripathi,M,BSP,61639,C.P Chand,M,SP,50486,11153
236,Chitrakoot,GEN,Veer Singh,M,SP,65267,Ram Sevak,M,BSP,49131,16136
398,Chunar,GEN,Jagatamba Singh,M,SP,67265,Ghanshyam,M,BSP,46557,20708
298,Colonelganj,GEN,Yogesh Pratap Singh 'Yogesh Bhaiya',M,SP,67723,Ajay Pratap Singh Alias Lalla Bhaiya,M,BSP,56002,11721
136,Dadraul,GEN,Rammurti Singh Verma,M,SP,61967,Rizwan Ali,M,BSP,57088,4879
62,Dadri,GEN,Satveer Singh Gurjar,M,BSP,81137,Nawab Singh Nagar,M,BJP,43840,37297
270,Dariyabad,GEN,Rajeev Kumar Singh,M,SP,84147,Vivekanand,M,BSP,64253,19894
117,Dataganj,GEN,Sinod Kumar Shakya (Deepu),M,BSP,63626,Prempal Singh Yadav,M,SP,58299,5327
68,Debai,GEN,Shri Bhagwan Sharma,M,SP,62969,Rajveer Singh,M,JaKP,59372,3597
5,Deoband,GEN,Rajendra Singh Rana,M,SP,66682,Manoj Chaudhary,M,BSP,63632,3050
337,Deoria,GEN,Janmejai Singh,M,BJP,56299,Pramod Singh,M,BSP,33004,23295
20,Dhampur,GEN,Th. Mool Chand Chauhan,M,SP,53365,Ashok Kumar Rana,M,BSP,52801,564
39,Dhanaura,(SC),Maikal Chandra,M,SP,55545,Hem Singh,M,BSP,47916,7629
314,Dhanghata,(SC),Alagu Prasad Chauhan,M,SP,66337,Ram Sidhare,M,BSP,51388,14949
141,Dhaurahra,GEN,Shamsher Bahadur Alias Sheroobhaiya,M,BSP,64139,Yashpal Chowdhary,M,SP,63094,1045
58,Dholana,GEN,Dharmesh Singh Tomar,M,SP,59150,Aslam,M,BSP,49811,9339
203,Dibiyapur,GEN,Pradeep Kumar,M,SP,76819,Ram Ji,M,BSP,52528,24291
350,Didarganj,GEN,Adil Sheikh,M,SP,64361,Sukhdev Rajbhar,M,BSP,62134,2227
306,Domariaganj,GEN,Kamal Yusuf Malik,M,PECP,44428,Saiyada Khatun,F,BSP,42839,1589
403,Duddhi,(SC),Rubi Prasad,F,IND,42028,Naresh Kumar,M,SP,35989,6039
104,Etah,GEN,Ashish Kumar Yadav,M,SP,39282,Gajendra Singh Babloo,M,BSP,36038,3244
200,Etawah,GEN,Raghuraj Singh Shakya,M,SP,74874,Mahendra Singh Rajpoot,M,BSP,68610,6264
86,Etmadpur,GEN,Dr. Dharampal Singh,M,BSP,79982,Dr. Prem Singh Baghel,M,SP,71478,8504
122,Faridpur,(SC),Dr. Siaram Sagar,M,SP,60837,Dr. Shyam Bihari,M,BJP,44050,16787
194,Farrukhabad,GEN,Vijay Singh S/O Prem Singh,M,IND,33005,Major Suneel Dutt Dwivedi,M,BJP,32858,147
93,Fatehabad,GEN,Chotelal Verma,M,BSP,73098,Rajendra Singh,M,SP,72399,699
240,Fatehpur,GEN,Shed Qasim Hasan,M,SP,49830,Jeetendra Kumar Lodhi,M,BSP,46044,3786
91,Fatehpur Sikri,GEN,Surajpal Singh,M,BSP,67191,Rajkumar Chahar,M,IND,61568,5623
332,Fazilnagar,GEN,Ganga,M,BJP,49995,Kalamuddin,M,BSP,44501,5494
97,Firozabad,GEN,Manish Asiza,M,BJP,74878,Azim Bhai,M,SP,72863,2015
292,Gainsari,GEN,Dr. Shiv Pratap Yadav,M,SP,56744,Alauddin,M,BSP,33044,23700
7,Gangoh,GEN,Pardeep Kumar,M,INC,65149,Ruder Sain,M,SP,61126,4023
225,Garautha,GEN,Deepnarayan Singh (Deepak Yadav),M,SP,70041,Devesh Kumar Paliwal (Kukku Bhaiya,M,BSP,54243,15798
60,Garhmukteshwar,GEN,Madan Chauhan,M,SP,82816,Farhat Hasan,M,BSP,64617,18199
301,Gaura,GEN,Kunwar Anand Singh,M,SP,42773,Abdul Kalam Malik,M,INC,35678,7095
185,Gauriganj,GEN,Rakesh Pratap Singh,M,SP,44287,Mohammad Nayeem,M,INC,43784,503
218,Ghatampur,(SC),Indrajeet Kori,M,SP,50669,Saroj Kureel,F,BSP,49969,700
56,Ghaziabad,GEN,Suresh Bansal,M,BSP,64485,Atul Garg,M,BJP,52364,12121
375,Ghazipur,GEN,Vijay Kumar Mishra,M,SP,49561,Raj Kumar,M,BSP,49320,241
400,Ghorawal,GEN,Ramesh Chandra,M,SP,87708,Anil Kumar Maurya,M,BSP,72521,15187
354,Ghosi,GEN,Sudhakar,M,SP,73688,Fagu Chauhan,M,BSP,58144,15544
139,Gola Gokrannath,GEN,Vinay Tiwari,M,SP,82439,Simmi Bano,F,BSP,63110,19329
296,Gonda,GEN,Vinod Kumar Urf Pandit Singh,M,SP,62058,Mahesh Narayan Tiwari,M,BJP,47203,14855
344,Gopalpur,GEN,Waseem Ahmad,M,SP,77697,Kamla Prasad Yadav,M,BSP,47563,30134
157,Gopamau,(SC),Shyam Prakash,M,SP,67430,Aneeta Verma,F,BSP,61227,6203
323,Gorakhpur Rural,GEN,Vijay Bahadur Yadava,M,BJP,58849,Jafar Amin Dakku,M,SP,41864,16985
322,Gorakhpur Urban,GEN,Dr Radha Mohan Das Agarwal,M,BJP,81148,Raj Kumari Devi,F,SP,33694,47454
276,Goshainganj,GEN,Abhay Singh,M,SP,122235,Indra Pratap Urf Khabbu Tiwari,M,BSP,63554,58681
83,Goverdhan,GEN,Rajkumar Rawat,M,BSP,63725,Megh Shyam Singh,M,RLD,42230,21495
212,Govind Nagar,GEN,Satyadev Pachauri,M,BJP,57156,Shailendra Dixit,M,INC,44779,12377
111,Gunnaur,GEN,Ramkhiladi Singh Yadav,M,SP,107378,Ajit Kumar Urf Raju Yadav,M,INC,60720,46658
393,Gyanpur,GEN,Vijay Kumar,M,SP,91604,Dinesh Kumar Singh,M,BSP,53930,37674
272,Haidergarh,(SC),Ram Magan,M,SP,60232,Ram Narayan,M,BSP,51792,8440
228,Hamirpur,GEN,Sadhvi Niranjan Jyoti,F,BJP,63762,Fateh Muhammad Khan,M,BSP,55938,7824
258,Handia,GEN,Prashant Kumar Singh,F,SP,81655,Dr. Pamkaj Tripathi,M,BSP,54838,26817
59,Hapur,(SC),Gajraj Singh,M,INC,77242,Dharampal Singh,M,BSP,55090,22152
179,Harchandpur,GEN,Surendra Vikram Singh,M,SP,51262,Shiv Ganesh Lodhi,M,INC,37069,14193
156,Hardoi,GEN,Nitin Agarwal,M,SP,110063,Raja Bux Singh,M,BSP,66381,43682
147,Hargaon,(SC),Ramhet Bharti,M,BSP,73889,R.P Chowdhary,F,SP,61740,12149
307,Harraiya,GEN,Rajkishor Singh,M,SP,84409,Mamata Pandey,F,BSP,64123,20286
42,Hasanpur,GEN,Kamal Akhtar,M,SP,92843,Ganga Saran,M,BSP,60615,32228
45,Hastinapur,(SC),Prabhu Dayal Balmiki,M,SP,46742,Yogesh Verma,M,PECP,40101,6641
334,Hata,GEN,Radheshyam,M,SP,55591,Virendra,M,BSP,38923,16668
78,Hathras,(SC),Genda Lal Chaudhary,M,BSP,59161,Rajesh Kumar,M,BJP,50488,8673
242,Husainganj,GEN,Mo. Asif,M,BSP,44757,Usha Devi Alias Anila Maurya,F,INC,41906,2851
77,Iglas,(SC),Triloki Ram,M,RLD,66146,Rajendra Kumar,M,BSP,57953,8193
187,Isauli,GEN,Abrar Ahmad,M,SP,48813,Yash Bhadra Singh (Monu),M,PECP,34872,13941
305,Itwa,GEN,Mata Prasad Pandey,M,SP,46142,Subodh Chandra,M,BSP,34408,11734
184,Jagdishpur,(SC),Radhey Shyam,M,INC,56309,Vijay Kumar,M,SP,50912,5397
238,Jahanabad,GEN,Madan Gopal Verma,M,SP,78920,Sameer Trivedi,M,BSP,42709,36211
373,Jakhanian,(SC),Subba Ram,M,SP,72561,Vijay Kumar,M,BSP,57331,15230
132,Jalalabad,GEN,Neeraj Kushawaha,M,BSP,76406,Sharad Vir Singh,M,SP,75856,550
280,Jalalpur,GEN,Sher Bahadur,M,SP,89267,Ritesh Pandey,M,BSP,72003,17264
106,Jalesar,(SC),Ranjeet Suman,M,SP,55391,Omprakash Dalit,M,BSP,32822,22569
376,Jangipur,GEN,Kailash,M,SP,72208,Manish Chandra Pandey,M,BSP,62744,9464
96,Jasrana,GEN,Ramveer Singh,M,SP,104440,Ram Gopal (Pappu Lodhi),M,BSP,75804,28636
199,Jaswantnagar,GEN,Shivpal Singh Yadav,M,SP,133563,Manish Yadav Pataray,M,BSP,52479,81084
366,Jaunpur,GEN,Nadeem Javed,M,INC,50863,Tejbahadur Maurya 'Pappu',M,BSP,49624,1239
63,Jewar,GEN,Vedram Bhati,M,BSP,67524,Dhirendra Singh,M,INC,58024,9500
223,Jhansi Nagar,GEN,Ravi Sharma,M,BJP,67043,Sita Ram Kushwaha,M,BSP,58963,8080
191,Kadipur,(SC),Ramchandra Chaudhary,M,SP,97283,Bhagelu Ram,M,BSP,59173,38110
192,Kaimganj,(SC),Ajit Kumar,M,SP,56279,Amar Singh,M,BJP,34441,21838
8,Kairana,GEN,Hukum Singh,M,BJP,80293,Anwar Hasan,M,BSP,60750,19543
288,Kaiserganj,GEN,Mukut Bihari Verma,M,BJP,45262,Ram Tej Yadav Advocate,M,SP,38294,6968
220,Kalpi,GEN,Umakanti,F,INC,64289,Sanjay Singh,M,BSP,57639,6650
211,Kalyanpur,GEN,Satish Kumar Nigam,M,SP,44789,Prem Lata Katiyar,F,BJP,42406,2383
198,Kannauj,(SC),Anil Kumar Dohre,M,SP,95702,Mahendra Nim Dohre,M,BSP,50020,45682
216,Kanpur Cantt.,GEN,Raghunandan Singh Bhadauria,M,BJP,42551,Mohd.Hasan Roomi,M,SP,33243,9308
25,Kanth,GEN,Aneesurrehman,M,PECP,37092,Rizwan Ahmad Khan,M,BSP,35558,1534
303,Kapilvastu,(SC),Vijay Kumar,M,SP,78344,Sri Ram Chauhan,M,BJP,41474,36870
308,Kaptanganj,GEN,Ram Prasad Chaudhary,M,BSP,67416,Trayambak Nath,M,SP,56346,11070
260,Karachhana,GEN,Deepak Patel,M,BSP,68341,Ujjwal Raman Singh,M,SP,67937,404
110,Karhal,GEN,Sobaran Singh Yadav,M,SP,92536,Jaivir Singh,M,BSP,61593,30943
100,Kasganj,GEN,Man Pal Singh,M,SP,48535,Hasrat Ullah Sherwani,M,BSP,38356,10179
143,Kasta,(SC),Sunil Kumar Lala,M,SP,88548,Saurabh Singh Sonu,M,BSP,61677,26871
277,Katehari,GEN,Shankh Lal Manjhi,M,SP,94641,Lal Ji Verma,M,BSP,77021,17620
131,Katra,GEN,Rajesh Yadav,M,SP,51025,Rajeev Kashyap,M,BSP,50150,875
297,Katra Bazar,GEN,Bawan Singh,M,BJP,65355,Masood Alam,M,BSP,58408,6947
372,Kerakat,(SC),Gulab Chand,M,SP,67470,Vijay Lakshami,F,BSP,57284,10186
329,Khadda,GEN,Vijay Kumar Dubey,M,INC,37260,N.P. Kushwaha,M,SP,35115,2145
243,Khaga,(SC),Krishna Paswan,F,BJP,59234,Murli Dhar,M,BSP,40312,18922
71,Khair,(SC),Bhagwati Prasad,M,RLD,93470,Rajrani,F,BSP,54696,38774
325,Khajani,(SC),Sant Prasad,M,BJP,57920,Ram Samujh,M,BSP,48484,9436
313,Khalilabad,GEN,Dr. Moh. Ayub,M,PECP,55841,Mashhoor Alam,M,BSP,50449,5392
15,Khatauli,GEN,Kartar Singh Bhadana,M,RLD,46722,Tara Chand Shastri,M,BSP,40847,5875
92,Kheragarh,GEN,Bhagvan Singh Kushwaha,M,BSP,69533,Rani Pakshalika Singh,F,SP,62427,7106
70,Khurja,(SC),Banshi Singh Pahadiya,M,INC,98913,Horam Singh,M,BSP,61609,37304
215,Kidwai Nagar,GEN,Ajay Kapoor,M,INC,63400,Vivek Sheel Shukla(Beenu Shukla),M,BJP,61373,2027
109,Kishni,(SC),Eng. Brajesh Katheriya,M,SP,77113,Km. Sandhya,F,BSP,42063,35050
46,Kithore,GEN,Shahid Manzoor,M,SP,73015,Lakhi Ram Naga,M,BSP,61909,11106
75,Koil,GEN,Zameer Ullah Khan,M,SP,44847,Vivek Bansal,M,INC,44248,599
265,Koraon,(SC),Rajbali Jaisal,M,BSP,44755,Ramkripal,M,CPM,36982,7773
246,Kunda,GEN,Raghuraj Pratap Singh,M,IND,111392,Shiv Prakash Mishra Senani,M,BSP,23137,88255
29,Kundarki,GEN,Mohammad Rizwan,M,SP,81302,Ramveer Singh,M,BJP,64101,17201
266,Kursi,GEN,Fareed Mahfooj Kidwai,M,SP,80183,Kumari Meeta Gautam,F,BSP,56246,23937
333,Kushinagar,GEN,Bramhashankar Tripathi,M,SP,66489,Jawed Iqbal,M,BSP,42801,23688
148,Laharpur,GEN,Mo. Jasmir Ansari,M,BSP,71860,Anil Kumar Verma,M,INC,54188,17672
142,Lakhimpur,GEN,Utkarsh Verma Madhur,M,SP,82713,Gyan Prakash Bajpai,M,BSP,44720,37993
351,Lalganj,(SC),Bechai,M,SP,64746,Hira Lal Gautam,M,BSP,53734,11012
226,Lalitpur,GEN,Ramesh Prasad Kushwaha,M,BSP,79797,Chandra Bhusan Singh Bundela (Guddu Raja),M,SP,68474,11323
190,Lambhua,GEN,Santosh Pandey,M,SP,74352,Vinod Singh,M,BSP,56980,17372
53,Loni,GEN,Zakir Ali,M,BSP,89603,Madan Bhaiya,M,RLD,64355,25248
175,Lucknow Cantt,GEN,Prof. Rita Bahuguna Joshi,F,INC,63052,Suresh Chandra Tiwari,M,BJP,41299,21753
174,Lucknow Central,GEN,Ravidas Mehrotra,M,SP,62622,Vidya Sagar Gupta,M,BJP,39890,22732
173,Lucknow East,GEN,Kalraj Mishra,M,BJP,68726,Juhie Singh,F,SP,47908,20818
172,Lucknow North,GEN,Abhishek Mishra,M,SP,47580,Dr. Neeraj Bora,M,INC,45361,2219
171,Lucknow West,GEN,Mohd Rehan,M,SP,49912,Suresh Kumar Shrivastav,M,BJP,42100,7812
369,Machhlishahr,(SC),Jagdish Sonkar,M,SP,82484,Rampher Gautam,M,BSP,58059,24425
219,Madhogarh,GEN,Santram,M,BSP,71671,Keshvendra Singh,M,SP,50319,21352
353,Madhuban,GEN,Umesh Pandey,M,BSP,51572,Rajendra Mishra,M,SP,50216,1356
311,Mahadewa,(SC),Ram Karan Arya,M,SP,83202,Doodhram,M,BSP,63943,19259
318,Maharajganj,(SC),Sudama,M,SP,84581,Nirmesh Mangal,M,BSP,48426,36155
217,Maharajpur,GEN,Satish Mahana,M,BJP,83144,Saroj Kureel,F,BSP,49969,33175
285,Mahasi,GEN,Krishna Kumar Ojha,M,BSP,40546,Sureshwar Singh,M,BJP,38057,2489
151,Mahmoodabad,GEN,Narendra Singh Verma,M,SP,86580,Ahmad Anshari,M,BSP,66991,19589
230,Mahoba,GEN,Rajnarain Alias Rajju,M,BSP,43963,Siddhgopal Sahu,M,SP,43609,354
145,Maholi,GEN,Anoop Kumar Gupta,M,SP,87160,Mahesh Chandra Mishra,M,BSP,64445,22715
107,Mainpuri,GEN,Rajkumar Alias Raju Yadav,M,SP,54990,Rama Shakya,F,BSP,40781,14209
397,Majhawan,GEN,Ramesh Chand,M,BSP,83870,Rajendra Prasad,M,SP,74141,9729
367,Malhani,GEN,Paras Nath Yadaw,M,SP,81602,Dr.Jagriti Singh,F,IND,50100,31502
168,Malihabad,(SC),Indal Kumar,M,SP,62782,Kaushal Kishore,M,RCP,60567,2215
237,Manikpur,GEN,Chandrabhan Singh Patel,M,BSP,43818,Shyamacharan Gupta,M,SP,40121,3697
252,Manjhanpur,(SC),Indrajeet Saroj,M,BSP,91000,Shiv Mohan Chaudhary,M,SP,86818,4182
300,Mankapur,(SC),Babulal,M,SP,78311,Ramesh Chandra,M,BSP,51141,27170
82,Mant,GEN,S.S.S.P.(Mantri),M,AITC,67457,Y. Chaudhary,M,RLD,60853,6604
105,Marhara,GEN,Amit Gaurav,M,SP,61827,Virendra,M,JaKP,39571,22256
399,Marihan,GEN,Laliteshpati Tripathi,M,INC,63492,Satyendra Kumar Patel,M,SP,54969,8523
370,Mariyahu,GEN,Shraddha Yadav,F,SP,55745,Savitri Patel,F,BSP,43268,12477
284,Matera,GEN,Yasar Shah,M,SP,41944,Ali Akbar,M,INC,39143,2801
84,Mathura,GEN,Pradeep Mathur,M,INC,54498,Devendra Kumar Sharma,M,BJP,53997,501
356,Mau,GEN,Mukhtar Ansari,M,QED,70210,Bheem Rajbhar,M,BSP,64306,5904
