A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
87,Agra Cantonment,(SC),Gutiyari Lal Duwesh,M,BSP,67786,Girraj Singh Dharmesh (G.S. Dharmesh),M,BJP,61371,6415
89,Agra North,GEN,Jagan Prasad Garg,M,BJP,68401,Rajesh Kumar Agrawal,M,BSP,45045,23356
90,Agra Rural,(SC),Kali Charan Suman,M,BSP,69969,Hemlata,F,SP,51123,18846
88,Agra South,GEN,Yogendra Upadhyaya,M,BJP,74324,Zulfiquar Ahmed Bhutto,M,BSP,51364,22960
385,Ajagara,(SC),Tribhuvan Ram,M,BSP,60239,Lalji,M,SP,58156,2083
281,Akbarpur,GEN,Ram Murti Verma,M,SP,91126,Sanjay Kumar,M,BSP,64840,26286
206,Akbarpur Raniya,GEN,Ramswaroop Singh,M,SP,69148,Pratibha Shukla,F,BSP,67905,1243
279,Alapur,(SC),Bheem Prasad Sonkar,M,SP,79846,Tribhuvan Dutt,M,BSP,49823,30023
103,Aliganj,GEN,Rameshwar Singh,M,SP,91141,Sanghmitra Maurya,F,BSP,65120,26021
76,Aligarh,GEN,Zafar Alam,M,SP,68291,Ashutosh Varshney,M,BJP,45205,23086
262,Allahabad North,GEN,Anugrah Narayan Singh,M,INC,54787,Harshvardhan Bajpayee,M,BSP,38695,16092
263,Allahabad South,GEN,Haji Parvej Ahmad (Tanki),M,SP,43040,Nand Gopal Gupta Nandi,M,BSP,42626,414
261,Allahabad West,GEN,Pooja Pal,F,BSP,71114,Atiq Ahamad,M,AD,62229,8885
101,Amanpur,GEN,Mamtesh,M,BSP,37996,Virendra Singh,M,SP,34340,3656
186,Amethi,GEN,Gayatri Prasad,M,SP,58434,Ameeta Sinh,F,INC,49674,8760
193,Amritpur,GEN,Narendra Singh Yadav,M,SP,50911,Dr. Jitandra Singh Yadav,M,JaKP,31940,18971
41,Amroha,GEN,Mehboob Ali,M,SP,60807,Ram Singh,M,BJP,39002,21805
67,Anupshahr,GEN,Gajendra Singh,M,BSP,51761,Syed Himayat Ali,M,SP,48260,3501
126,Aonla,GEN,Dharm Pal Singh,M,BJP,50782,Mahipal Singh Yadav,M,SP,46374,4408
214,Arya Nagar,GEN,Salil Vishnoi,M,BJP,51200,Jitendra Bahadur Singh,M,SP,35789,15411
32,Asmoli,GEN,Pinki Singh,F,SP,73873,Aqeel Ur Rehman Khan,M,BSP,47484,26389
73,Atrauli,GEN,Viresh Yadav,M,SP,54785,Prem Lata Devi,F,JaKP,45918,8867
343,Atraulia,GEN,Dr.Sangram Yadav,M,SP,97486,Surendra Prasad Mishra,M,BSP,53866,43620
394,Aurai,(SC),Madhubala,F,SP,83827,Baijnath,M,BSP,61954,21873
204,Auraiya,(SC),Madan Singh Alias Santosh,M,SP,63477,Kuldeep,M,BSP,51415,12062
241,Ayah Shah,GEN,Ayodhya Prasad Pal,M,BSP,49339,Anand Prakash Lodhi,M,SP,38242,11097
275,Ayodhya,GEN,Tej Narayan Pandey Alias Pawan Pandey,M,SP,55262,Lallu Singh,M,BJP,49857,5405
347,Azamgarh,GEN,Durga Prasad Yadav,M,SP,93629,Sarvesh Singh Sipu,M,BSP,62188,31441
245,Babaganj,(SC),Vinod Kumar,M,IND,69332,Mahendra Kumar,M,BSP,27266,42066
