A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
247,Chunar,GEN,Om Prakash Singh,M,BJP,45025,Jagtamaba Singh Patel,M,SP,41582,3443
248,Majhwa,GEN,Dr. Ramesh Chand Bind,M,BSP,45199,Shiv Shankar Singh Yadav,M,SP,40606,4593
249,Mirzapur,GEN,Kailash Chaurasiya,M,SP,38617,Ramchandra Maurya,M,BSP,29540,9077
250,Chhanbey,(SC),Surybhan,M,BSP,43045,Sriram Bharti,M,SP,22290,20755
251,Meja,(SC),Raj Bali Jaisal,M,BSP,54859,Ram Kripal,M,CPM,38647,16212
252,Karchana,GEN,Anand Kumar Alias Collector Pandey,M,BSP,62118,Ujjawal Raman Singh,M,SP,61773,345
253,Bara,GEN,Udaibhan Karwaria,M,BJP,51592,Deepak Singh Patel,M,BSP,47358,4234
254,Jhusi,GEN,Praveen Patel,M,BSP,59931,Vizma Yadav,F,SP,42853,17078
255,Handia,GEN,Rakesh Dhar Tripathi,M,BSP,62151,Mahesh Narayan Singh,M,SP,60809,1342
256,Pratappur,GEN,Jokhu Lal Yadav,M,SP,41454,Sayeed Ahmad,M,BSP,34697,6757
257,Soraon,GEN,Mohd. Muztaba Siddiqi,M,BSP,38280,Mohd. Ayub,M,SP,32739,5541
258,Nawabganj,GEN,Guru Prasad Maurya,M,BSP,40531,Shiv Prasad Mishra,M,SP,31518,9013
259,Allahabad North,GEN,Anugrah Narayan Singh,M,INC,29938,Harsh Vardhan Bajpai,M,BSP,28151,1787
260,Allahabad South,GEN,Nand Gopal Gupta 'Nandi',M,BSP,34939,Keshri Nath Tripathi,M,BJP,20129,14810
261,Allahabad West,GEN,Pooja Pal,F,BSP,56198,Khalid Azim Alias Asraf,M,SP,45876,10322
262,Chail,(SC),Daya Ram,M,BSP,36742,Ram Chandra,M,SP,21782,14960
263,Manjhanpur,(SC),Indrajeet Saroj,M,BSP,57899,Suresh Pasi,M,SP,30536,27363
264,Sirathu,(SC),Wachaspati,M,BSP,48997,Matesh Chander Sonkar,M,SP,26999,21998
265,Khaga,GEN,Ranavendra Pratap Singh Urf Dhunni Bhaiya,M,BJP,45109,Munna Lal Maurya,M,INC,37214,7895
266,Kishunpur,(SC),Murlidhar,M,BSP,38357,Krishna Paswan,F,BJP,33490,4867
267,Haswa,GEN,Ayodhya Prasad Pal,M,BSP,35987,Daljeet Nishad,M,SP,26599,9388
268,Fatehpur,GEN,Radheshyam Gupta,M,BJP,44237,Athar Siddiqui,M,BSP,30743,13494
269,Jahanabad,GEN,Aditya Pandey,M,BSP,36760,Madan Gopal Verma,M,SP,31452,5308
270,Bindki,GEN,Sukhdev Prasad Verma,M,BSP,42059,Rajendra Singh Patel,M,BJP,31405,10654
271,Arya Nagar,GEN,Irfan Solanki,M,SP,36376,Harish Matreja,M,BJP,13173,23203
272,Sishamau,(SC),Sanjeev Dariyabadi,M,INC,25775,Rakesh Sonkar,M,BJP,24411,1364
273,Generalganj,GEN,Salil Vishnoi,M,BJP,29461,Surendra Mohan Agarwal,M,SP,26977,2484
274,Kanpur Cantonment,GEN,Satish Mahana,M,BJP,47381,Mehtab Alam,M,SP,20845,26536
275,Govind Nagar,GEN,Ajay Kapoor,M,INC,110478,Hanuman Mishra,M,BJP,70018,40460
276,Kalyanpur,GEN,Prem Lata Katiyar,F,BJP,42349,Nirmal Tewari,M,BSP,41675,674
277,Sarsaul,GEN,Aruna Tomar,F,SP,57046,Anant Mishra,M,BSP,56704,342
278,Ghatampur,GEN,Ramprakash Kushwaha,M,BSP,65793,Rakesh Sachan,M,SP,63316,2477
279,Bhognipur,(SC),Raghu Nath Prasad,M,BSP,36829,Arun Kumari,F,SP,33733,3096
280,Rajpur,GEN,Mithlesh Kumari,F,BSP,45251,Sanshank Shekhar,M,SP,25418,19833
281,Sarvankhera,GEN,Ram Swaroop Singh,M,SP,46145,Mathura Prasad Pal,M,BSP,43001,3144
282,Chaubepur,GEN,Pratibha Shukla,F,BSP,41703,Amitabh Bajpai,M,SP,31435,10268
283,Bilhaur,(SC),Kamlesh Chandra,M,BSP,52729,Shiv Kumar Beria,M,SP,48770,3959
284,Derapur,GEN,Mahesh Chandra,M,BSP,43656,Devendra Singh Urf Bole Singh,M,BJP,40093,3563
285,Auraiya,GEN,Shekhar,M,BSP,53435,Kamlesh Kumar,M,SP,47177,6258
286,Ajitmal,(SC),Ashok Kumar,M,BSP,45937,Madan Singh Alias Santosh Kumar,M,SP,36710,9227
287,Lakhana,(SC),Bheem Rao Ambedkar,M,BSP,50725,Sukh Devi Verma,F,SP,43855,6870
288,Etawah,GEN,M. S. Rajput,M,BSP,76093,V.Singh Bhadaur,M,SP,43266,32827
289,Jaswantnagar,GEN,Shiv Pal Singh Yadav,M,SP,73211,Baba Harnarayan Yadav,M,BSP,42404,30807
290,Bharthana,GEN,Shiv Pr. Yadav,M,BSP,61396,Pradeep Kr. Yad.,M,SP,45620,15776
291,Bidhuna,GEN,Dr. M. C Verma,M,BSP,73494,Geeta S A Chandraprabha,F,SP,46210,27284
292,Kannauj,(SC),Anil Kumar,M,SP,49740,Kalyan Singh Dohre,M,BSP,41327,8413
293,Umardha,GEN,Kailash Singh Rajput,M,BSP,44416,Vijay Bahadur Pal,M,SP,41480,2936
294,Chhibramau,GEN,Arvind Singh,M,SP,45708,Jai Kumar Tiwari Alias Vauan,M,BSP,40888,4820
295,Kamalganj,GEN,Tahir Hussain Siddiki,M,BSP,51164,Mukesh Rajput,M,BJP,34184,16980
296,Farrukhabad,GEN,Anant Misra,M,BSP,65696,Bijai Singh,M,INC,51034,14662
297,Kaimganj,GEN,Kuldip Singh Gangwar,M,BSP,36978,Louise Khursheed,F,INC,27325,9653
298,Mohammdabad,GEN,Narendra Singh,M,SP,48031,Nagendra Singh,M,BSP,44760,3271
299,Manikpur,(SC),Daddu Prashad,M,BSP,44686,Satya Narayan,M,SP,38374,6312
300,Karwi,GEN,Dinesh Prashad,M,BSP,50518,R. K. Singh Patel,M,SP,49162,1356
301,Baberu,GEN,Vishambhar Singh Yadav,M,SP,32568,Gaya Charan Dinakar,M,BSP,32394,174
302,Tindwari,GEN,Vishambhar Prasad,M,SP,33725,Dal Jeet,M,JM,26512,7213
303,Banda,GEN,Vivek Kumar Singh,M,INC,34524,Babulal Kushwaha,M,BSP,34293,231
304,Naraini,GEN,Purushottam Naresh,M,BSP,31694,Piyariya,F,RLD,27251,4443
305,Hamirpur,GEN,Ashok Kumar Singh Chandel,M,SP,43672,Shiv Charan Prajapati,M,BSP,36576,7096
306,Maudaha,GEN,Badshah Singh,M,BSP,51752,Apni Chiraiya Prajapati,F,SP,34203,17549
307,Rath,GEN,Chaudari Dhooram Lodhi,M,BSP,42601,Shree Niwas Budhauliya,M,SP,33420,9181
308,Charkhari,(SC),Anil Kumar Ahirwar,M,BSP,39330,Ambesh Kumari,F,SP,32386,6944
309,Mahoba,GEN,Rakesh Kumar,M,BSP,32017,Girja Charan,M,SP,27556,4461
310,Mehroni,GEN,Pt. Ram Kumar Tiwari,M,BSP,71097,Pooran Singh Bundela,M,INC,46861,24236
311,Lalitpur,GEN,Suman D.Kushw.,F,BSP,83888,C.B.Singh,M,SWP,69221,14667
312,Jhansi,GEN,Kailash Sahu,M,BSP,35944,B.Kr. Was,M,IND,35935,9
313,Babina,(SC),Ratan Lal Ahirwar,M,BSP,62771,Shatish Jatariya,M,SP,33973,28798
314,Mauranipur,(SC),Bhagwati Prasad Sagar,M,BSP,46330,Bihari Lal Arya,M,INC,35584,10746
315,Garoutha,GEN,Deep Narayan Singh,M,SP,57981,Ranjeet Singh Judeo,M,INC,45360,12621
316,Konch,(SC),Ajay Singh,M,BSP,33772,Gauri Shankar,M,BJP,31820,1952
317,Orai,GEN,Vinod Chaturvedi,M,INC,38982,Suresh Tiwari,M,BSP,35889,3093
318,Kalpi,GEN,Chhote Singh,M,BSP,46275,Sriram Pal,M,SP,44145,2130
319,Madhogarh,GEN,Hari Om,M,BSP,51135,Sant Ram Singh,M,BJP,47833,3302
320,Bhongaon,GEN,Alok Kumar,M,SP,39224,Bijendra Singh Alias Bhallu Chauhan,M,BSP,34107,5117
321,Kishni,(SC),Km.Sandhya,F,SP,41012,Sunil Kumar,M,BSP,35409,5603
322,Karhal,GEN,Sobaran Singh,M,SP,52471,Ramesh,M,BSP,35142,17329
323,Shikohabad,GEN,Ashok Yadav S/O Maheshwar Singh,M,IND,58240,Hariom,M,SP,40267,17973
324,Jasrana,GEN,Ram Prakash Yadav,M,IND,40649,Ramvir Singh,M,SP,32836,7813
325,Ghiror,GEN,Jaivir Singh,M,BSP,47528,Ku.Anujesh Pratap Singh,M,SP,45219,2309
326,Mainpuri,GEN,Ashok Singh Chauhan,M,BJP,49367,Pro.Kalicharan Yadav,M,SP,44898,4469
327,Aliganj,GEN,Avadhpal Singh Yadav,M,BSP,57149,Rameshwar Singh,M,SP,45784,11365
328,Patiali,GEN,Ajay Yadav,M,BSP,39335,Rajednrda Singh,M,SP,28956,10379
329,Sakit,GEN,Suraj Singh,M,SP,24627,Neeraj Kishore Mishra,M,BSP,24269,358
330,Soron,GEN,Mamtesh,M,BSP,28578,Devendra Pratap,M,BJP,23366,5212
331,Kasganj,GEN,Hasratulla,M,BSP,35105,Netram Singh,M,BJP,32733,2372
332,Etah,GEN,Prajapalan,M,BJP,48529,Shishupal Singh,M,SP,27601,20928
333,Nidhauli Kalan,GEN,Anil Kumar Singh,M,SP,29829,Mahesh Chand,M,BSP,22567,7262
334,Jalesar,(SC),Kuver Singh,M,BJP,31038,Ranvir Singh Kashyap,M,BSP,30966,72
335,Firozabad,GEN,Nasir Uddin,M,BSP,42700,Azim Bhai,M,SP,32506,10194
336,Bah,GEN,Madhusdan Sharma,M,BSP,38877,Raja Mahendra Ari Daman Singh,M,BJP,34254,4623
337,Fatehabad,GEN,Rajendra Singh,M,BJP,38672,Chhote Lal Verma,M,SP,33567,5105
338,Tundla,(SC),Rakesh Babu,M,BSP,50002,Shiv Singh Chak,M,BJP,28178,21824
339,Etmadpur,(SC),Narayan Singh,M,BSP,47539,Baby Rani Maurya,F,BJP,37916,9623
340,Dayalbagh,GEN,Dr.Dharmpal Singh,M,JM,56708,Kishan Lal Baghel,M,BSP,53759,2949
341,Agra Cantonment,GEN,Julfikar Ahmed Bhutto,M,BSP,30524,Keshomehra,M,BJP,27149,3375
342,Agra East,GEN,Jagan Prashad Garg,M,BJP,31200,Sarv Prakash Kapoor Urf Shauki Bhai,M,BSP,22937,8263
343,Agra West,(SC),Guteyari Lal Duves,M,BSP,39951,Dr.Rambabu Harit,M,BJP,34577,5374
344,Kheragarh,GEN,Bhagwan Singh Kushwaha,M,BSP,46829,Keshav Prashad Dexit,M,BJP,33609,13220
345,Fatehpur Sikri,GEN,Th. Surajpal Singh,M,BSP,44856,Rajkumar Chahar,M,BJP,43407,1449
346,Goverdhan,(SC),Puran Prakash,M,RLD,43963,Ajay Kumar Poeia,M,BSP,38100,5863
347,Mathura,GEN,Prdeep Mathur,M,INC,45383,Murari Lal,M,BJP,24293,21090
348,Chhata,GEN,Laxmi Narayan,M,BSP,55591,Tej Pal Singh,M,RLD,29633,25958
349,Mat,GEN,Shyam Sunder Sharma,M,ABLTC,46932,Rampal Singh,M,RLD,35394,11538
350,Gokul,GEN,Raj Kumar Rawat,M,BSP,48916,Nabav Singh,M,RLD,39874,9042
351,Sadabad,GEN,Dr. Anil Chaudhary,M,RLD,55578,Vinod Updhayay,M,BSP,39832,15746
352,Hathras,GEN,Ramveer Upadhayay,M,BSP,56698,Devendra Agarwal,M,RLD,41288,15410
353,Sasni,(SC),Genda Lal Chaudhary,M,BSP,37506,Ranjeet Suman,M,SP,31751,5755
354,Sikandra Rao,GEN,Yashpal Singh Chauhan,M,BJP,40510,Madhu Baghel,F,SP,38367,2143
355,Gangiri,GEN,Ram Singh,M,BJP,37575,Muzahid Khan (Guddu),M,BSP,35998,1577
356,Atrauli,GEN,Premlata Devi,F,BJP,50390,Harish Sharma,M,BSP,29240,21150
357,Aligarh,GEN,Zamir Ullah,M,SP,44541,Sanjeev Raja,M,BJP,36689,7852
358,Koil,(SC),Mahendra Singh,M,BSP,54161,Surendra Sahyogi,M,BJP,49926,4235
359,Iglas,GEN,Bimlesh Singh,F,RLD,53522,Mukul Upadhyay,M,BSP,46822,6700
360,Barauli,GEN,Tha Jaiveer Singh,M,BSP,49028,Dalvir Singh,M,RLD,44327,4701
361,Khair,GEN,Satya Pal Singh,M,RLD,62483,Pramod Gaur,M,BSP,48704,13779
362,Jewar,(SC),Horam Singh,M,BSP,46125,Bansi Singh,M,INC,40491,5634
363,Khurja,GEN,Anil Kumar,M,BSP,37807,Ved Pal Singh,M,BJP,20737,17070
364,Debai,GEN,Shri Bhagwan Sharma,M,BSP,67223,Rajvir Singh,M,BJP,51519,15704
365,Anupshahr,GEN,Gajendra Singh,M,BSP,40478,Hoshiyar Singh,M,IND,30013,10465
366,Siana,GEN,Sunder Singh,M,BJP,33252,Imtiyaz,M,INC,28995,4257
367,Agota,GEN,Virendra Singh Sirohi,M,BJP,35403,Kiranpal Singh,M,SP,32850,2553
368,Bulandshahr,GEN,Mo. Aleem Khan,M,BSP,39571,Mahendra Singh Yadav,M,SP,36398,3173
369,Shikarpur,(SC),Vasdev Singh,M,BSP,30418,Bhola Singh,M,RLD,26144,4274
370,Sikandrabad,GEN,Vedram Bhati,M,BSP,48897,Narendra Singh Bhati,M,SP,38679,10218
371,Dadri,GEN,Satveer Singh Gurjar,M,BSP,75346,Nawab Singh Nagar,M,BJP,50923,24423
372,Ghaziabad,GEN,Sunil Kumar Sharma,M,BJP,88506,Suresh Bansal,M,BSP,62851,25655
373,Muradnagar,GEN,Rajpal Tyagi,M,BSP,58687,Kunwar Ayyub Ali,M,RLD,51834,6853
374,Modinagar,GEN,Rajpal Singh,M,BSP,32434,Dharmesh Singh Tomer,M,SP,31155,1279
375,Hapur,(SC),Dharam Pal S/O Ram Kishan,M,BSP,39802,Gajraj Singh,M,INC,30357,9445
376,Garhmukteshwar,GEN,Madan Chouhan,M,SP,45606,Ram Naresh,M,BJP,38296,7310
377,Kithore,GEN,Shahid Manzoor,M,SP,43701,Vijendra Singh,M,BSP,40276,3425
378,Hastinapur,(SC),Yogesh Verma,M,BSP,34200,Gopal Kali,M,INC,27174,7026
379,Sardhana,GEN,Chandra Veer Singh,M,BSP,37469,Tabassum Begum,F,RLD,28134,9335
380,Meerut Cantonment,GEN,Satyaprakash Agarwal,M,BJP,56800,Sunil Kumar Wadhwa,M,BSP,40621,16179
381,Meerut,GEN,Haji Yaqub,M,UPUDF,48502,Dr. Lakshmikant Vajpeyee,M,BJP,47413,1089
382,Kharkhauda,GEN,Lakhiram Nagar,M,BSP,62464,Haji Yaqub,M,UPUDF,35045,27419
383,Siwalkhas,(SC),Vinod Kumar Harit,M,BSP,42171,Narendra Singh,M,RLD,24705,17466
384,Khekra,GEN,Madan Bhaiya,M,RLD,63469,Ch. Kartar Singh,M,BSP,51934,11535
385,Baghpat,GEN,Kaukab Hameed Khan,M,RLD,38169,Sahab Singh,M,SP,36636,1533
386,Barnawa,GEN,Satyandra,M,RLD,33730,Samarpal Singh,M,SP,31802,1928
387,Chhaprauli,GEN,Dr. Ajay Tomar,M,RLD,47487,Gajendra Kumar Munna,M,BSP,32059,15428
388,Kandhla,GEN,Balveer,M,BSP,52725,Virendra Singh,M,RLD,33949,18776
389,Khatauli,GEN,Yograj Singh,M,BSP,38205,Rajpal Singh Baliyan,M,RLD,22184,16021
390,Jansath,(SC),Yashwant,M,BSP,43623,Prakash Chand Raja,M,BJP,26450,17173
391,Morna,GEN,Mithlesh Pal,F,RLD,54161,Noor Saleem Rana,F,BSP,49577,4584
392,Muzaffarnagar,GEN,Ashok Kumar Kansal,M,BJP,49817,Chitranjan Swaroop,M,SP,38556,11261
393,Charthawal,(SC),Anil Kumar,M,BSP,35417,Rampal Singh,M,BJP,33544,1873
394,Baghra,GEN,Pankaj Kumar,M,INC,37649,Yashpal Singh Alias Yogendra Singh,M,RLD,26188,11461
395,Kairana,GEN,Hukum Singh,M,BJP,53483,Arshad,M,RLD,44983,8500
396,Thana Bhawan,GEN,Abdul Warish Khan,M,RLD,41204,Anoop Singh,M,BSP,35801,5403
397,Nakur,GEN,Mahipal Singh,M,BSP,71246,Pradeep Kumar,M,SP,50808,20438
398,Sarsawa,GEN,Dr.Dharm Singh Saini,M,BSP,68440,Moh.Dilshad,M,SP,31767,36673
399,Nagal,(SC),Ravindar Kumar(Molhu),M,BSP,61323,Vishv Dayal,M,SP,38424,22899
400,Deoband,GEN,Manoj Chaudhary,M,BSP,53577,Shashi Bala Pundir,F,BJP,36116,17461
401,Harora,(SC),Jagpal,M,BSP,82343,Vimla Rakesh,F,SP,52189,30154
402,Saharanpur,GEN,Raghav Lakhan Pal,M,BJP,76049,Sanjay Garg,M,SP,57858,18191
403,Muzaffarabad,GEN,Imran Masood,M,IND,43835,Jagdish Singh Rana,M,SP,40152,3683
