A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
57,Dhaurahra,GEN,Awasthi Bala Prashad,M,BSP,80690,Yashpal Chaudhari,M,SP,51486,29204
58,Behta,GEN,Mahendra Kumar Singh,M,SP,48414,Chandra Kumar Bapu,M,BSP,45136,3278
59,Biswan,GEN,Nirmal Verma,M,BSP,52658,Ram Pal Yadav,M,SP,44430,8228
60,Mahmudabad,GEN,Narendra Singh,M,SP,81799,Meesam Rizvi,M,BSP,67988,13811
61,Sidhauli,(SC),Dr. Hargovind Bhargava,M,BSP,63568,Syam Lal Rawat,M,SP,51574,11994
62,Laharpur,GEN,Mohd. Jasmir Ansari,M,BSP,57179,Anil Kumar Verma,M,SP,44314,12865
63,Sitapur,GEN,Radhey Shyam Jaiswal,M,SP,43716,Rakesh Kumar,M,BSP,41849,1867
64,Hargaon,(SC),Ramhet Bharti,M,BSP,43787,Ramesh Rahi,M,SP,37209,6578
65,Misrikh,GEN,Anoop Kumar,M,SP,62256,Gaya Prasad,M,BSP,59115,3141
66,Machhrehta,(SC),Ram Pal Rajvanshi,M,SP,42803,Vijay Kumar,M,BSP,33165,9638
67,Beniganj,(SC),Ram Pal Verma,M,BSP,33769,Ramesh S/O Shri Chhote Lal,M,BJP,23089,10680
68,Sandila,GEN,Abdul Mannan,M,BSP,56115,Smt Ishrat Rasool,F,SP,53060,3055
69,Ahirori,(SC),Virendra Kumar,M,BSP,45276,Prabhash Kumar,M,SP,37489,7787
70,Hardoi,GEN,Naresh Chandra Agarwal,M,SP,67317,Ram Kumar Kuril,M,BSP,44068,23249
71,Bawan,(SC),Rajeswari,F,BSP,51633,Shyam Prakash,M,SP,30010,21623
72,Pihani,GEN,Daud Ahmad,M,BSP,51184,Ashok Bajpayee,M,SP,48591,2593
73,Shahabad,GEN,Ashif,M,BSP,41727,Babu Khan,M,SP,37721,4006
74,Bilgram,GEN,Rajni Tiwari,F,BSP,92196,Vishram Singh Yadav,M,SP,54028,38168
75,Mallawan,GEN,Krishna Kumar Singh Alias Satish Verma,M,BSP,47566,Dharmagya Mishra,M,SP,39448,8118
76,Bangarmau,GEN,Kuldeep Singh Sengar,M,SP,38384,Ram Shankar Pal,M,BSP,36251,2133
77,Safipur,(SC),Sudhir Kumar,M,SP,38196,Manish Kumar,M,BSP,30810,7386
78,Unnao,GEN,Deepak Kumar,M,SP,42210,Shiv Pal Singh,M,INC,31098,11112
79,Hadha,GEN,Sundar Lal Lodhi,M,SP,37928,Ashutosh Shukla,M,BSP,36003,1925
80,Bhagwant Nagar,GEN,Kripa Shankar Singh,M,BSP,46343,Nattho Singh,M,SP,29016,17327
81,Purwa,GEN,Uday Raj,M,SP,48570,Hirday Narayan Dixit,M,BJP,44323,4247
82,Hasanganj,(SC),Radhelal,M,BSP,51541,Mastram,M,BJP,33014,18527
83,Malihabad,(SC),Dr. Sidharth Shanker,M,BSP,62617,Kaushal Kishor,M,RCP,36173,26444
84,Mahona,GEN,Nakul Dubey,M,BSP,54604,Gomti Yadav,M,BJP,52427,2177
85,Lucknow East,GEN,Vidya Sagar Gupta,M,BJP,18892,Fakhir Siddiqui,M,SP,18261,631
86,Lucknow West,GEN,S.K. Shukla,M,INC,32166,Amit Puri,M,BJP,29990,2176
87,Lucknow Central,GEN,Suresh Kumar Srivastava,M,BJP,30872,Ravi Das Mehrotra,M,SP,26962,3910
88,Lucknow Cantonment,GEN,Suresh Chandra Tiwari,M,BJP,30444,Arivind Kumar Tripathi Alias Guddu,M,BSP,25068,5376
89,Sarojini Nagar,GEN,Mohd.Irshad Khan,M,BSP,65736,Shyam Kishore Yadav,M,SP,60312,5424
90,Mohanlalganj,(SC),R.K.Chaudhary,M,RSBP,31387,Purnima Verma,F,BSP,24945,6442
91,Bachhrawan,(SC),Raja Ram,M,INC,40117,Ram Lal Akela,M,SP,28536,11581
92,Tiloi,GEN,Mayankeshwar Sharan Singh,M,SP,44513,Dr. Mohammad Muslim,M,INC,44056,457
93,Rae Bareli,GEN,Akhilesh Kumar Singh,M,IND,76603,Rudra Pratap Singh,M,INC,29892,46711
94,Sataon,GEN,Shiv Ganesh,M,INC,60268,Ram Naresh Yadav,M,SP,25133,35135
95,Sareni,GEN,Ashok Kumar Singh,M,INC,53938,Uma Shanker,M,BSP,30609,23329
96,Dalmau,GEN,Ajay Pal Singh,M,INC,51517,Gajadhar Singh,M,SP,39083,12434
97,Salon,(SC),Shiv Balak Pasi,M,INC,45078,Asha Kishor,F,SP,31969,13109
98,Kunda,GEN,Raghuraj Pratap Singh,M,IND,73732,Shiv Prakash Mishra Senani,M,BSP,20604,53128
99,Bihar,(SC),Vinod Kumar,M,IND,42034,Krishna Chandra,M,BSP,32874,9160
100,Rampur Khas,GEN,Pramod Kumar,M,INC,55221,Kunwar Viggyat Singh,M,SP,24227,30994
101,Gadwara,GEN,Brijesh Saurabh,M,BSP,47209,Raja Ram,M,SP,27960,19249
102,Pratapgarh,GEN,Sanjay,M,BSP,35308,Haji Abdul Salam,M,SP,26352,8956
103,Birapur,GEN,Ram Siromani Shukla,M,BSP,43200,Shiva Kant Ojha,M,BJP,38693,4507
104,Patti,GEN,Rajendra Pratap Singh Alish Moti Singh,M,BJP,42579,Bal Kumar Alias Raj Kumar,M,SP,42125,454
105,Amethi,GEN,Amita Singh,F,INC,48108,Ashish,M,BSP,35684,12424
106,Gauriganj,GEN,Chandra Prakash,M,BSP,34386,Mohd. Naim,M,INC,28398,5988
107,Jagdishpur,(SC),Ram Sewak,M,INC,34563,Shri Ram,M,BSP,21356,13207
108,Issauli,GEN,Chandra B.Singh,M,BSP,82063,J. M. Tiwari,M,INC,32686,49377
109,Sultanpur,GEN,Anoop Sanda,M,SP,29504,Om Prakash Pandey,M,BJP,24753,4751
110,Jaisinghpur,GEN,Om Prakash (O.P.Singh),M,BSP,37013,Jainarayan Tiwari,M,INC,19903,17110
111,Chanda,GEN,Vinod Kumar,M,BSP,40537,Manoj Kumar Pandey,M,SP,24773,15764
112,Kadipur,(SC),Bhagelu Ram,M,BSP,35312,Ram Chandra Chaudhary,M,SP,33933,1379
113,Katehari,GEN,Dharm Raj Nishad,M,BSP,47689,Jai Shanker Pandey,M,SP,47449,240
114,Akbarpur,GEN,Ram Achal Rajbhar,M,BSP,55875,Rammurti Verma,M,SP,44035,11840
115,Jalalpur,GEN,Sher Bahadur,M,BSP,65734,Rakesh Pandey,M,SP,61434,4300
116,Jahangirganj,(SC),Tribhuwan Dutt,M,BSP,56905,Ghanshyam Chandra Kharwar,M,SP,48954,7951
117,Tanda,GEN,Lal Ji Verma,M,BSP,65365,Azimul Huqe Pahalwan,M,SP,62910,2455
118,Ayodhya,GEN,Lallu Singh,M,BJP,58493,Indra Pratap Tiwari Urf Khabbu,M,SP,52752,5741
119,Bikapur,GEN,Jitendra Kumar Bablu Bhaiya,M,BSP,52424,Sita Ram Nishad,M,SP,42201,10223
120,Milkipur,GEN,Anand Sen,M,BSP,60515,Ram Chandra Yadav,M,SP,51136,9379
121,Sohawal,(SC),Awadhesh Prasad,M,SP,48624,Ramu Priyadarshi,M,BSP,38753,9871
122,Rudauli,GEN,Abbas Ali Zaidi Alias Rushdi Mian,M,SP,45388,Ashok Kumar Singh,M,BSP,41715,3673
123,Dariyabad,GEN,Rajeev Kumar Singh,M,SP,56608,Vivekanand,M,BSP,42840,13768
124,Siddhaur,(SC),Dharmi Rawat,F,BSP,45415,Ram Magan,M,SP,35194,10221
125,Haidergarh,GEN,Arvind Kumar Singh Gope,M,SP,36933,Sunder Lal Dixit,M,BJP,32763,4170
126,Masauli,GEN,Fareed Mahfooz Kidwai,M,BSP,50671,Rakesh Kumar Verma,M,IJP,45307,5364
127,Nawabganj,GEN,Sangram Singh,M,BSP,49030,Chhotey Lal Yadav,M,SP,38365,10665
128,Fatehpur,(SC),Km. Meeta Gautam,F,BSP,33698,Kusum Lata Singh,F,SP,29227,4471
129,Ramnagar,GEN,Amresh Kumar,M,BSP,30363,Kunvar Ramveer Singh,M,SP,27807,2556
130,Kaiserganj,GEN,Gulam Mohammad Khan,M,BSP,38911,Ram Tej Yadav,M,SP,20889,18022
131,Fakharpur,GEN,Krishana Kumar,M,BSP,38983,Arun Veer Singh,M,SP,38547,436
132,Mahsi,GEN,Sureshwar Singh,M,BJP,50286,Ali Akbar,M,BSP,49845,441
133,Nanpara,GEN,Waris Ali,M,BSP,54965,Jata Shanker Singh,M,BJP,34439,20526
134,Charda,(SC),Shabbir Ahmad,M,SP,33541,Savitri Phoole,F,BJP,31859,1682
135,Bhinga,GEN,Daddan,M,BSP,28707,Mohammad Aslam,M,INC,28616,91
136,Bahraich,GEN,Dr. Viqar Ahmed Shah,M,SP,45984,Vinod Tripathi,M,BSP,43540,2444
137,Ikauna,(SC),Ram Sagar Akela,M,BSP,39427,Akshaibar Lal,M,BJP,32185,7242
138,Gainsari,GEN,Alauddin,M,BSP,44893,Dr Shiv Pratap Yadava,M,SP,38456,6437
139,Tulsipur,GEN,Kaushlendra Nath Yogi,M,BJP,39250,"Abdul Mashood Khan, Masood",M,SP,32751,6499
140,Balrampur,GEN,Dhirendra Pratap Singh,M,BSP,25180,Vinay Kumar Pandey,M,INC,23269,1911
141,Utraula,GEN,Shyamlal,M,BJP,37000,Anwar Mahmood Khan,M,SP,32195,4805
142,Sadullanagar,GEN,Arif Anwar Hasmi,M,SP,40850,Ram Pratap Singh,M,BJP,28749,12101
143,Mankapur,(SC),Ram Bishun Azad,M,SP,43256,Paltu Ram,M,BSP,38634,4622
144,Mujehna,GEN,Nandita Shukla,F,SP,46600,Ram Pal Singh,M,BSP,37684,8916
145,Gonda,GEN,Moh. Jalil Khan,M,BSP,39600,Vinod Kumar Urf Pandit Singh,M,SP,36958,2642
146,Katra Bazar,GEN,Baij Nath Dubey,M,SP,46776,Bavan Singh,M,BJP,42297,4479
147,Colonelganj,GEN,Vrij Singh Alias Vrij Kunwari,F,BSP,50283,Yogesh Pratap Singh Alias Yogesh Bhaiya,M,SP,40546,9737
148,Dixir,(SC),Ramesh Chandra,M,BSP,41618,Ramapati Shastri,M,BJP,38260,3358
149,Harraiya,GEN,Raj Kishore Singh,M,SP,46411,Anil Singh,M,BSP,41266,5145
150,Captainganj,GEN,Ram Prasad Chaudhary,M,BSP,47372,Krishna Kinker Singh Rana,M,IND,28852,18520
151,Nagar East,(SC),Doodhram,M,BSP,43419,Ram Karan Arya,M,SP,32413,11006
152,Basti,GEN,Jeetendra Kumar,M,BSP,37258,Jagdambika Pal,M,INC,27478,9780
153,Ramnagar,GEN,Rajendra Prasad Chaudhery,M,BSP,41580,Sanjay Jaiswal,M,INC,35979,5601
154,Domariaganj,GEN,Khatoon Taufique,F,BSP,44765,Prem Prakash Urf.Jippi Tiwari,M,BJP,28923,15842
155,Itwa,GEN,Mata Prasad Pandey,M,SP,42950,Javed,M,BSP,40622,2328
156,Shohratgarh,GEN,Chaudhari Ravind Pratap,M,INC,33716,Mumtaz Ahmad,M,BSP,31524,2192
157,Naugarh,GEN,Ishwar Chandra Shukla,M,INC,30417,Dhanraj Yadav,M,BJP,24071,6346
158,Bansi,GEN,Lal Ji Yadav,M,SP,38648,Jai Pratap Singh,M,BJP,36134,2514
159,Khesraha,GEN,Mohammad Tabis Khan,M,BSP,47522,Diwakar Vikram Singh,M,SP,40588,6934
160,Menhdawal,GEN,Abdul Kalam,M,SP,35947,Mashhoor Alam,M,BSP,29374,6573
161,Khalilabad,(SC),Bhagwandas,M,BSP,41497,Algoo Prasad Chauhan,M,SP,31841,9656
162,Hainsarbazar,GEN,Dasharath Pr. C.,M,BSP,47815,Neelmani,M,INC,39018,8797
163,Bansgaon,(SC),Sadal Prasad,M,BSP,41586,Sant Prasad,M,BJP,39302,2284
164,Dhuriapar,GEN,Rajendra Singh Urf Pahalwan Singh,M,SP,36514,Lal Amin Khan Urf Lal Shahi,M,BSP,35955,559
165,Chillupar,GEN,Rajesh Tripathi,M,BSP,54107,Hari Shankar Tiwari,M,ABLTC,47174,6933
166,Kauriram,GEN,Ambika,M,BSP,56072,Ram Bhuwal,M,SP,42148,13924
167,Mundera Bazar,(SC),Madho Prasad,M,INC,38552,Harilal,M,BSP,29823,8729
168,Pipraich,GEN,Raj Mati Nishad,F,SP,56019,J. K Jaiswal (P.B),M,IND,29961,26058
169,Gorakhpur,GEN,Dr. Radha Mohan Das Agrawal,M,BJP,49715,Bhanu Prakash Mishra,M,SP,27323,22392
