A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
1,Seohara,GEN,Qutubudeen,M,BSP,37853,Dr. Ved Parkash Singh,M,BJP,35704,2149
2,Dhampur,GEN,Mool Chand,M,SP,56597,Ashok Kumar Rana,M,RLD,46044,10553
3,Afzalgarh,GEN,Indra Dev,M,BJP,41532,Mohammad Ghazi,M,BSP,40805,727
4,Nagina,(SC),Omvati Devi,F,SP,42684,Manoj Kumar Paras,M,BSP,40553,2131
5,Nazibabad,(SC),Ram Swroop Singh,M,CPM,40426,Sheesh Ram,M,BSP,35584,4842
6,Bijnor,GEN,Kunvar Bhartander Singh,M,BJP,52195,Tasleem,F,SP,35856,16339
7,Chandpur,GEN,Swami Omvesh,M,RLD,60595,Ram Avtar Singh,M,BSP,49928,10667
8,Kanth,GEN,Rizwan Ahmed Khan,M,BSP,48011,Rajesh Kumar Singh,M,BJP,38433,9578
9,Amroha,GEN,Mehboob Ali,M,RPD,59314,Dr. Hari Singh Dhillon,M,RLD,50042,9272
10,Hasanpur,GEN,Devendra Nagpal,M,IND,68680,Vijay Pal,M,BSP,39107,29573
11,Gangeshwari,(SC),Jagram,M,SP,49371,Veer Singh,M,BSP,39186,10185
12,Sambhal,GEN,Iqbal Mahmood,M,SP,52562,Shafiqur Rahman Barq,M,RPD,31256,21306
13,Bahjoi,GEN,Aqeelur Rehman Khan,M,BSP,47494,Brijendra Pal Singh,M,SP,33387,14107
14,Chandausi,(SC),Gulab Devi,F,BJP,40288,Satish Premi,M,SP,39588,700
15,Kundarki,GEN,Mohd. Rizwan,M,SP,53348,Rishipal Singh,M,BJP,35466,17882
16,Moradabad West,GEN,Mohd. Aaqil Urf Munna Miyan,M,BSP,38425,Samarpal Singh,M,SP,30089,8336
17,Moradabad,GEN,Sandeep Agarwal,M,BJP,42888,Ha. Mohammad Siddiq,M,INC,27907,14981
18,Moradabad Rural,GEN,Shamimul Haq,M,INC,52367,Saulat Ali,M,SP,37450,14917
19,Thakurdwara,GEN,Kunwar Sarvesh Kumar Alias Rakesh,M,BJP,87318,Mohd. Ullah Khan,M,INC,84063,3255
20,Suar Tanda,GEN,Nawab Kazim Ali Khan Alias Naved Mian,M,INC,83135,Shiv Bahadur Saxena,M,BJP,56125,27010
21,Rampur,GEN,Mohd. Azam Khan,M,SP,73920,Afroz Ali Khan,M,INC,35929,37991
22,Bilaspur,GEN,Beena Bhardwaj,F,SP,56179,Sanjay Kapoor,M,INC,35769,20410
23,Shahabad,(SC),Kashi Ram,M,SP,59856,Chandra Pal Singh,M,BJP,47604,12252
24,Bisauli,GEN,Yogendra Kumar,M,SP,37980,Vikas Yadav,M,RPD,35729,2251
25,Gunnaur,GEN,Mulayam Singh Yadav,M,SP,195213,Arif Ali,M,BSP,11314,183899
26,Sahaswan,GEN,Omkar Singh Yadav,M,SP,57050,Shama Ali,F,JD(U),43720,13330
27,Bilsi,(SC),Ashutosh Maurya Urf Raju,M,SP,45895,Amit Kumar Mathuria,M,BJP,33859,12036
28,Budaun,GEN,Vimal Krishana Agarwal Urf Pappi,M,BSP,36148,Jugendra Singh Aneja,M,SP,32834,3314
29,Usehat,GEN,Ashish Yadav,M,SP,40550,Muslim Khan,M,BSP,32152,8398
30,Binawar,GEN,Bhupendra Singh,M,BSP,33484,Suresh Pal Singh Chauhan,M,SP,29582,3902
31,Dataganj,GEN,Prem Pal Singh Yadav,M,SP,27331,Avinash Kumar Singh Alias Pappu Bhaiya,M,BJP,25710,1621
32,Aonla,GEN,Dharm Pal Singh,M,BJP,43345,Shyam Bihari Singh,M,SP,43082,263
33,Sunha,GEN,Dharmendra Kumar,M,BSP,31502,Veer Pal Singh Yadav,M,SP,28733,2769
34,Faridpur,(SC),Dr. Siyaram Sagar,M,SP,39106,Vijay Pal Singh,M,BJP,38868,238
35,Bareilly Cantonment,GEN,Shahlin Islam,M,IND,35493,Praveen Singh Airan,M,INC,26703,8790
36,Bareilly City,GEN,Rajesh Agrawal,M,BJP,36950,Ravi Prakash Agrawal,M,SP,23976,12974
37,Nawabganj,GEN,Bhagwat Saran Gangwar,M,SP,63913,Dr. M.P. Arya,M,BJP,35008,28905
38,Bhojipura,GEN,Virendra Singh,M,SP,42761,Abdul Kadir,M,BSP,36386,6375
39,Kawar,GEN,Sultan Beg,M,SP,40971,Jaideep Singh Barar,M,BSP,38064,2907
40,Baheri,GEN,Ata Ul Rehman,M,BSP,51650,Mumtaj Jahan,M,SP,43865,7785
41,Pilibhit,GEN,Riaz Ahmad,M,SP,35700,B.K. Gupta,M,BJP,25729,9971
42,Barkhera,(SC),Peetam Ram,M,SP,37076,Kishan Lal,M,RTKP,22851,14225
43,Bisalpur,GEN,Anis Ahmad Khan Alias Phool Babu,M,BSP,32266,Babu Tejbahadur Gangwar,M,RTKP,24603,7663
44,Puranpur,GEN,Dr. Vinod Tiwari,M,BJP,43058,Gopal Krishan,M,SP,34502,8556
45,Powayan,(SC),Mithlesh Kumar,M,IND,31816,Hiralal,M,SP,29972,1844
46,Nigohi,GEN,Kovid Kumar,M,BJP,48131,Chandrasen,M,BSP,47235,896
47,Tilhar,GEN,Virendra Pratap Singh (Munna),M,INC,45491,Rajesh Yadav,M,SP,44133,1358
48,Jalalabad,GEN,Sharadveer Singh,M,SP,43572,Krishn Pal Singh,M,BSP,27511,16061
49,Dadraul,GEN,Avdhesh Kumar,M,BSP,34925,Anwar Ali Alias Zaqiurrahman,M,SP,30534,4391
50,Shahjahanpur,GEN,Suresh Kumar Khanna,M,BJP,68454,Pradeep Pandey,M,SP,45417,23037
51,Mohammadi,(SC),Banshi Dhar Raj,M,SP,57525,Krishna Devi,F,BJP,55610,1915
52,Haiderabad,GEN,Arvind Giri,M,SP,62527,Arun Kumar Verma,M,BSP,47974,14553
53,Paila,(SC),Rajesh Kumar,M,BSP,36005,Moti Lal,M,SP,30721,5284
54,Lakhimpur,GEN,Kaushal Kishor,M,SP,47558,Gyan Bajpai,M,SD,40977,6581
55,Srinagar,GEN,Mayavati,F,BSP,41735,Kunwar Dheerendra Bahadur Singh,M,SP,37273,4462
56,Nighasan,GEN,R.S. Kushwaha,M,BSP,44367,Krishna Gopal Patel,M,SP,39981,4386
57,Dhaurahra,GEN,Yashpal Chaudhary,M,SP,54507,Bala Prasad Awasthi,M,BSP,46274,8233
58,Behta,GEN,Mahendra Kumar Singh,M,SP,51105,Zufar Ahamad Farooqui,M,BSP,36815,14290
59,Biswan,GEN,Ram Pal Yadav,M,SP,40809,Ajit Kumar Mehrotra,M,BJP,35172,5637
60,Mahmudabad,GEN,Narendra Singh,M,BJP,49191,Narendra Kumar Mishra,M,SP,35057,14134
61,Sidhauli,(SC),Shyam Lal Rawat,M,SP,46771,Ramesh Rahi,M,BSP,46335,436
62,Laharpur,GEN,Anil Kumar Verma,M,SP,43112,Haji Jalish Ahmad,M,BSP,42771,341
63,Sitapur,GEN,Radheshyam,M,SP,54808,Rajendra Kumar Gupta,M,BJP,34878,19930
64,Hargaon,(SC),Ram Het,M,BSP,35924,Daulat Ram,M,BJP,35873,51
65,Misrikh,GEN,Om Prakash,M,SP,53990,Rakesh Singh,M,BSP,35379,18611
66,Machhrehta,(SC),Ram Krishana,M,BSP,48384,Ram Pal Rajwanshi,M,LJNSP,24824,23560
67,Beniganj,(SC),Ram Pal Verma,M,BSP,34660,Satya Narayan (Santu),M,SP,24414,10246
68,Sandila,GEN,Abdul Mannan,M,BSP,52852,Kunwar Virendra Singh,M,SP,33292,19560
69,Ahirori,(SC),Shyam Prakash,M,SP,69464,Prabhash Kumar,M,BSP,58891,10573
70,Hardoi,GEN,Naresh Chandra Agrawal,M,SP,63825,Shiv Prasad,M,BSP,37242,26583
71,Bawan,(SC),Anil Kumar Verma,M,BJP,47803,Rajeshwari,F,SP,37589,10214
72,Pihani,GEN,Ashok Bajpai,M,SP,49838,Khalid Gauri,M,BSP,44407,5431
73,Shahabad,GEN,Ganga Bhakt Singh,M,BJP,41602,Babu Khan,M,SP,35252,6350
74,Bilgram,GEN,Vishram Singh Yadav,M,SP,42151,Ganga Singh Chauhan,M,BJP,27003,15148
75,Mallawan,GEN,Krishana Kumar Singh Alias Satish Verma,M,BSP,37220,Brijesh Pathak,M,INC,37090,130
76,Bangarmau,GEN,Ramshanker,M,BSP,43934,Ashok Kumar Singh,M,SP,38236,5698
77,Safipur,(SC),Sundar Lal,M,SP,40005,Ram Baran,M,BSP,30182,9823
78,Unnao,GEN,Kuldeep Singh,M,BSP,32072,Shiv Pal,M,INC,28494,3578
79,Hadha,GEN,Ganga Bux Singh,M,BJP,36524,Sunder Lal Lodhi,M,SP,34722,1802
80,Bhagwant Nagar,GEN,Natthu Singh,M,BSP,54104,Kripa Shanker Singh,M,BJP,30627,23477
81,Purwa,GEN,Udai Raj,M,SP,48831,Hriday Narayan Dikshit,M,BJP,38914,9917
82,Hasanganj,(SC),Mast Ram,M,BJP,37421,Rakesh,M,BSP,34817,2604
83,Malihabad,(SC),Kaushal Kishore,M,IND,62571,Sri Gauri Shankar,M,SP,37036,25535
84,Mahona,GEN,Rajendra Prasad,M,SP,73398,Gomti Yadav,M,BJP,58068,15330
85,Lucknow East,GEN,Vidya Sagar Gupta,M,BJP,23429,Ravidas Mehrotra,M,SP,23090,339
86,Lucknow West,GEN,Lalji Tandon,M,BJP,57628,Virendra Bhatia,M,SP,43089,14539
87,Lucknow Central,GEN,Suresh Kumar Srivastava,M,BJP,37388,Banware Lal Kanchal,M,SP,25473,11915
88,Lucknow Cantonment,GEN,Suresh Chandra Tiwari,M,BJP,36473,Sharda Pratap Shukla,M,SP,21126,15347
