A C No.,Constituency Name,Category,Winner,Gender,Party,Votes,Runner Up,Gender,Party,Votes,Margin
89,Sarojini Nagar,GEN,Mohd. Irshad Khan,M,BSP,48276,Shyam Kishore Yadav,M,SP,45684,2592
90,Mohanlalganj,(SC),R.K.Chowdhary,M,IND,56744,R.P.Saroj,M,SP,32076,24668
91,Bachhrawan,(SC),Ram Lal Akela,M,SP,53982,Shyam Sunder Bharti,M,BSP,24372,29610
92,Tiloi,GEN,Mayankeshwer Sharan Singh,M,BJP,33579,Muslim,M,INC,32593,986
93,Rae Bareli,GEN,Akhilesh Kumar Singh,M,INC,115869,Rajeev Kumar,M,SP,20032,95837
94,Sataon,GEN,Surendra Vikram Singh,M,BSP,38632,Ram Naresh Yadav,M,SP,31292,7340
95,Sareni,GEN,Devendra Pratap Singh,M,SP,32837,Ashok Kumar Singh,M,INC,26593,6244
96,Dalmau,GEN,Swami Prasad Maurya,M,BSP,42723,Ajai Pal Singh (Munna Bhaiya),M,BJP,42552,171
97,Salon,(SC),Asha Kishor,F,SP,36536,Shiv Balak Pasi,M,INC,32509,4027
98,Kunda,GEN,Kunwar Raghuraj Pratap Singh Raja Bhaiya,M,IND,88446,Mo. Sami,M,SP,6768,81678
99,Bihar,(SC),Ramnath,M,IND,88378,Keshaw,M,SP,19011,69367
100,Rampur Khas,GEN,Pramod Kumar,M,INC,82415,Pushpa Devi,F,AD,21379,61036
101,Gadwara,GEN,Raja Ram,M,LJNSP,25876,Ajit Pratap Singh Alias Madan Singh,M,BSP,23273,2603
102,Pratapgarh,GEN,Hari Pratap Singh,M,BJP,33067,Abdul Salam,M,AD,30596,2471
103,Birapur,GEN,Prof. Shivkant Ojha,M,BJP,58249,Laxmi Narayan Pandey (Guruji),M,SP,32965,25284
104,Patti,GEN,Rajendra Pratap Singh Alias Moti Singh,M,BJP,65265,Mritunjay,M,BSP,44501,20764
105,Amethi,GEN,Amita Singh,F,BJP,55949,Ashish,M,INC,37184,18765
106,Gauriganj,GEN,Jang Bahadur,M,BSP,38722,Fateh Bahadur,M,INC,31222,7500
107,Jagdishpur,(SC),Ram Sewak,M,INC,36640,Nand Lal,M,SP,28221,8419
108,Issauli,GEN,Chandra Bhadra Singh,M,SP,53270,Kaamil Farogh,M,BSP,27709,25561
109,Sultanpur,GEN,Om Prakash Pandey,M,BJP,29126,Moid Ahmad,M,INC,23940,5186
110,Jaisinghpur,GEN,Om Prakash ( O.P. Singh ),M,BSP,31963,Jai Naraian,M,INC,25198,6765
111,Chanda,GEN,Anil Kumar Pandey,M,SP,36078,Ram Shiromani Verma,M,BSP,34631,1447
112,Kadipur,(SC),Bhagelu Ram,M,BSP,39536,Kashi Nath,M,BJP,33079,6457
113,Katehari,GEN,Dharam Raj Nishad,M,BSP,53213,Jai Shanker Pandey,M,SP,49092,4121
114,Akbarpur,GEN,Ram Achal Rajbhar,M,BSP,54617,Pawan Kumar Pandey,M,LJNSP,47077,7540
115,Jalalpur,GEN,Rakesh Pandey,M,SP,52575,Kamar Hayat,M,BSP,47524,5051
116,Jahangirganj,(SC),Jai Ram Vimal,M,BSP,53733,Bhim Prasad Sonkar,M,SP,44924,8809
117,Tanda,GEN,Laljee Verma,M,BSP,67376,Azeemul Haq Pahalwan,M,SP,56887,10489
118,Ayodhya,GEN,Lalloo Singh,M,BJP,51289,Abhay Singh,M,BSP,33429,17860
119,Bikapur,GEN,Sita Ram Nishad,M,SP,43989,Jitendra Kumar Bablu Singh,M,BSP,37066,6923
120,Milkipur,GEN,Ram Chandra Yadav,M,SP,89116,Anand Sen,M,BSP,54098,35018
121,Sohawal,(SC),Awadhesh Prasad,M,SP,43398,Ramu Priyadarshi,M,BJP,35242,8156
122,Rudauli,GEN,Abbas Ali Zaidi Urf Rushdi Miyan,M,SP,51465,Ahat Ram Ali,M,BSP,30483,20982
123,Dariyabad,GEN,Rajeev Kumar Singh,M,BJP,43496,Radhay Shyam,M,SP,36167,7329
124,Siddhaur,(SC),Ram Magan,M,SP,75146,Dharmi Rawat,F,BSP,61093,14053
125,Haidergarh,GEN,Arvind Singh,M,SP,40497,Dharmi Rawat,F,BSP,36533,3964
126,Masauli,GEN,Rakesh Kumar Verma,M,SP,63418,Fareed Mahfooz Ki.,M,IND,59021,4397
127,Nawabganj,GEN,Chhote Lal,M,SP,44874,Sangram Singh,M,BJP,44847,27
128,Fatehpur,(SC),Raj Rani,F,BJP,47881,Hardev Singh,M,SP,34865,13016
129,Ramnagar,GEN,Raj Laxmi Verma,F,BJP,34009,Virendra Shukla,M,BSP,22922,11087
130,Kaiserganj,GEN,Mukut Bihari Verma,M,BJP,39355,Gulam Mohammad Khan,M,BSP,35641,3714
131,Fakharpur,GEN,Arun Veer Singh,M,SP,58059,Mayankar Singh,M,BJP,56721,1338
132,Mahsi,GEN,Dilip Kumar Verma,M,SP,66875,Jamila Khatun,F,BSP,45534,21341
133,Nanpara,GEN,Jata Shankar Singh,M,BJP,59932,Waris Ali,M,BSP,58177,1755
134,Charda,(SC),Shabbir,M,SP,46927,Savitri Vai Phooley,F,BJP,31437,15490
135,Bhinga,GEN,Chandramani Kant Singh,M,BJP,36588,Muhammad Aslam,M,BSP,34603,1985
136,Bahraich,GEN,Dr Vaqar Ahmad Shah,M,SP,55232,Subhash Tripathi,M,BJP,41137,14095
137,Ikauna,(SC),Akshaiber Lal,M,BJP,45878,Veerendra Pasi,M,SP,38242,7636
138,Gainsari,GEN,Shiv Pratap Alias Dr. Shiv Pratap Yadav,M,SP,48740,Bindu Lal,M,BSP,37045,11695
139,Tulsipur,GEN,Mashood Khan,M,SP,47817,Kamlesh Kumar Singh,M,IND,45421,2396
140,Balrampur,GEN,Geeta Singh,F,SP,33311,Hanumant Singh,M,BJP,31085,2226
141,Utraula,GEN,Anwar Mahmood,M,SP,40384,Shyam Lal,M,BJP,39253,1131
142,Sadullanagar,GEN,Ram Pratap Singh,M,BJP,47257,Doctor Mohammad Umar,M,SP,39074,8183
143,Mankapur,(SC),Ram Bishun Azad,M,SP,52515,Sumitra Devi,F,BJP,30109,22406
144,Mujehna,GEN,Nandita Shukla,F,SP,89815,Ram Pal Singh,M,BSP,39174,50641
145,Gonda,GEN,Vinod Kumar Alias Pandit Singh,M,SP,47299,Tulsi Das Rai Chandan,M,BJP,34788,12511
146,Katra Bazar,GEN,Baij Nath Dubey,M,SP,48667,Bawan Singh,M,BJP,46205,2462
147,Colonelganj,GEN,Yogesh Pratap Singh Alias Yogesh Bhaiya,M,BSP,46445,Ajai Pratap Singh Alias Lalla Bhaiya,M,BJP,42278,4167
148,Dixir,(SC),Babu Lal,M,SP,44398,Ramapati Shashtry,M,BJP,37758,6640
149,Harraiya,GEN,Raj Kishor Singh,M,BSP,34454,Trayambak Nath,M,SP,33028,1426
150,Captainganj,GEN,Ram Prasad Chaudhary,M,BJP,40415,Mahesh Singh,M,SP,36386,4029
151,Nagar East,(SC),Ram Karan Arya,M,SP,39730,Doodh Ram,M,BSP,33629,6101
152,Basti,GEN,Jagadambika Pal,M,INC,42079,Jitendra Kumar Alias(Nundu Choudhary),M,BJP,32564,9515
153,Ramnagar,GEN,Anoop Kumar Pandey,M,SP,49001,Ram Lalit Chaudhary,M,BSP,34727,14274
154,Domariaganj,GEN,Kamal Yusuf Malik,M,SP,44404,Prem Prakash Alias Jippi Tiwari,M,BJP,36781,7623
155,Itwa,GEN,Mata Prasad Pandey,M,SP,47548,Mohd .Muqueem,M,INC,37447,10101
156,Shohratgarh,GEN,Dinesh Singh,M,INC,35738,Raveendra Pratap Chaudhary,M,SP,30152,5586
157,Naugarh,GEN,Aneel,M,SP,34907,Swarath Prasad,M,BSP,24636,10271
158,Bansi,GEN,Jai Pratap Singh,M,BJP,43961,Lal Ji,M,SP,41508,2453
159,Khesraha,GEN,Aditya Vikram Singh (Bonku Singh),M,SP,43138,Divakar Vikram Singh,M,BJP,30261,12877
160,Menhdawal,GEN,Abdul Kalam,M,SP,40143,Lal Chandra Nishad,M,BSP,29086,11057
161,Khalilabad,(SC),Dawarika Prasad,M,BJP,39840,Ram Lakhan,M,SP,35547,4293
162,Hainsarbazar,(SC),Algaoo Prasad Chauhan,M,SP,63238,Dashrath Prasad Chauhan,M,BSP,63144,94
163,Bansgaon,(SC),Sadal Prasad,M,BSP,59525,Sant Prasad,M,BJP,37786,21739
164,Dhuriapar,GEN,Jaiprakash Yadva,M,BSP,36426,Rajendra Singh Alias Pahalwan Singh,M,NLP,24769,11657
165,Chillupar,GEN,Hari Shankar Tiwari,M,ABLTC,61489,Shyam Lal Yadav,M,BSP,46538,14951
166,Kauriram,GEN,Ram Bhuawan Nishad,M,SP,52267,Sheetal Prasad Pandey,M,BJP,41638,10629
167,Mundera Bazar,(SC),Sharadadevi,F,SP,31962,Madho Paswan,M,BSP,28623,3339
168,Pipraich,GEN,Jitendra Kumar Jaiswal Urf Pappu Bhaiya,M,IND,53729,Deepak Kumar Agarwal,M,ABHM,31494,22235
169,Gorakhpur,GEN,Dr.Radha Mohan Das Agrawal,M,ABHM,38830,Pramod Kumar Tekriwal,M,SP,20382,18448
170,Maniram,GEN,Kamlesh Kumar,M,SP,62918,Shambhu Saran Singh,M,BJP,44862,18056
171,Sahjanwa,GEN,Dev Narayan Alis G.M. Singh,M,BSP,52102,Yashpal Singh Rawat,M,SP,38232,13870
172,Paniara,GEN,Fateh Bahadur,M,BJP,41676,Badri Prasad Jaiswal,M,IND,39505,2171
173,Pharenda,GEN,Shyam Narain,M,INC,31395,Virendra Chaudhry,M,BSP,25522,5873
174,Lakshmipur,GEN,Amar Mani,M,BSP,63348,Kaushal Kishor,M,SP,57348,6000
175,Siswa,GEN,Shivendra Singh Urf Shiv Baboo,M,BJP,57350,Arvindra Nath Dwiwedi Urf Mahant Dubey,M,SP,49722,7628
176,Maharajganj,(SC),Chandra Kishor,M,BJP,42994,Sudama Prasad,M,INC,34479,8515
177,Shyam Deurwa,GEN,Gyanendra Singh,M,BJP,42175,Mehdi Hasan,M,BSP,40456,1719
178,Naurangia,(SC),Purnmasi Dehati,M,SP,39845,Shrinarayan Alias Bhulai,M,BJP,37045,2800
179,Ramkola,GEN,Radhey Shyam Singh,M,SP,62099,Ajimul Haq,M,BSP,39744,22355
180,Hata,(SC),Ramapati Alies Ramakant,M,BJP,45447,Shri Nath,M,BSP,27145,18302
181,Padrauna,GEN,Kr. Ratan Jeet Pratap Narayan Singh,M,INC,50388,Bleshwar Yadav,M,SP,35006,15382
182,Seorahi,GEN,Dr. P.K. Rai,M,SP,36107,Nand Kishor Mishra,M,BJP,35642,465
183,Fazilnagar,GEN,Jagdish Misra Balti Baba,M,BJP,44432,Vishwanath,M,SP,42558,1874
184,Kasia,GEN,Brahma Shanker Tripathi,M,SP,80752,Surya Pratap Shahi,M,BJP,55867,24885
185,Gauri Bazar,GEN,Shakir Ali,M,SP,50870,Janmejai Singh,M,BSP,44744,6126
186,Rudrapur,GEN,Anugrah Narain Alias Khokha Singh,M,SP,41095,Jai Prakash Nishad,M,BJP,27417,13678
187,Deoria,GEN,Dinanath Kushwaha,M,NLP,35159,Ram Nagina Yadav,M,SP,33255,1904
188,Bhatpar Rani,GEN,Kameshwar,M,INC,39618,Harivansh Sahay,M,SP,23220,16398
189,Salempur,GEN,Fasiha Murad Lari Alias Gajala,F,BSP,41524,Shanti Yadav,F,SP,37490,4034
190,Barhaj,GEN,Durga Prasad Misra,M,IND,30845,Ram Prasad Jaiswal,M,BSP,27601,3244
191,Nathupur,GEN,Kapildeo,M,BSP,31278,Utpal,M,SP,28420,2858
192,Ghosi,GEN,Fagoo,M,BJP,45873,Sudhakar Singh,M,SP,38187,7686
193,Sagri,GEN,Malik Masood,M,BSP,48895,Ram Pyare Singh,M,SP,48255,640
194,Gopalpur,GEN,Waseem Ahmad,M,SP,38109,Reyaz Khan,M,BSP,32356,5753
195,Azamgarh,GEN,Durga Prasad Yadav,M,SP,55586,R.P. Rai,M,BSP,37420,18166
196,Nizamabad,GEN,Alambadi,M,SP,41404,Kalamuddin,M,BSP,36448,4956
197,Atraulia,GEN,Balram Yadav,M,SP,51665,Vijay Prakash Singh,M,BSP,29609,22056
198,Phulpur,GEN,Ram Naresh Yadav,M,INC,44560,Ram Kishun,M,BSP,40732,3828
199,Saraimir,(SC),Hira Lal Gautam,M,BSP,44021,Daroga Prasad Saroj,M,SP,36634,7387
200,Mehnagar,(SC),Vidya Chaudhary,F,BSP,37785,Kalpnath,M,BJP,37453,332
201,Lalganj,GEN,Sukhdev Rajbhar,M,BSP,53700,Narendra Singh,M,BJP,51952,1748
202,Mubarakpur,GEN,Chandradeo Ram Yadav Karailee,M,BSP,53883,Yashwant Singh,M,LJNSP,44607,9276
203,Mohammadabad Gohna,(SC),Baijnath,M,SP,52447,Banvari,M,BSP,51518,929
204,Mau,GEN,Mokhtar Ansari,M,IND,70687,Sita,F,SAP,37645,33042
205,Rasra,(SC),Ghoora Ram,M,BSP,48396,Ghura,M,SP,38378,10018
206,Siar,GEN,Sharada Nand Anchal,M,SP,45251,Sakaldip,M,BJP,34739,10512
207,Chilkahar,GEN,Ram Ikabal,M,BJP,41434,Sangram Singh Yadava,M,SP,29758,11676
208,Sikanderpur,GEN,Jiyauddin Rijvi,M,SP,36907,Rajdhari,M,SAP,29544,7363
209,Bansdih,GEN,Ram Govind Chowdhari,M,SJP(R),43098,Bachacha Pathak,M,ABLTC,37279,5819
210,Doaba,GEN,Bharat,M,BJP,38411,Vikrama,M,SP,33555,4856
211,Ballia,GEN,Narad Rai,M,SP,40460,Ramji,M,BSP,27472,12988
212,Kopachit,GEN,Ambika Chaudhari,M,SP,40040,Sugreeev Singh,M,BSP,31789,8251
213,Zahoorabad,GEN,Kali Charan,M,BSP,56504,Shiv Pujan,M,SP,50281,6223
214,Mohammadabad,GEN,Alka Rai,F,BJP,79870,Sri Krishan Urf Gama Ram,M,SP,46126,33744
215,Dildarnagar,GEN,Om Prakash,M,SP,56914,Aslam,M,BSP,38823,18091
216,Zamania,GEN,Kailash,M,SP,50379,Aroon,M,BJP,42091,8288
217,Ghazipur,GEN,Umashanker,M,BSP,43920,Rajendra,M,CPI,43204,716
218,Jakhania,(SC),Chhedi Ram,M,SP,51986,Vijay Kumar,M,BSP,45151,6835
219,Sadat,(SC),Biju Pat Nayak,M,SP,62937,Ramdhani,M,BSP,55128,7809
220,Saidpur,GEN,Rajnath Yadav,M,SP,64007,Dr. Mahendranath Pandey,M,BJP,45419,18588
221,Dhanapur,GEN,Prabhu Narayan,M,SP,47410,Susheel,M,BSP,47384,26
222,Chandauli,(SC),Sharda Prasad,M,BSP,45706,Ujagir Gond,M,SP,40232,5474
223,Chakia,(SC),Shivtapasya,M,BJP,46346,Satya Prakash,M,SP,43596,2750
224,Mughalsarai,GEN,Ram Kishun,M,SP,49697,Chhabbu,M,BJP,37653,12044
225,Varanasi Cantonment,GEN,Harish Chand Srivastava (Harish Ji),M,BJP,41426,Manoj Rai Pappu,M,SP,28729,12697
226,Varanasi South,GEN,Shyam Dew Rai Chaudhari (Dada),M,BJP,43458,Rakesh Jain,M,SP,22653,20805
227,Varanasi North,GEN,Rabiya Begam,F,SP,48862,Ravindra Jaiswal,M,BJP,32864,15998
228,Chiraigaon,GEN,Virendra Singh,M,BSP,55527,Anil Rajbhar,M,SP,52286,3241
229,Kolasla,GEN,Ajay Rai,M,BJP,56454,Dr. Awadhesh Singh,M,BSP,41186,15268
230,Gangapur,GEN,Surendra Singh Patel,M,AD,48171,Kamala Raj Bhar,M,BJP,30138,18033
231,Aurai,GEN,Rangnath Mishra,M,BSP,64982,Rita Singh,F,SP,59452,5530
232,Gyanpur,GEN,Vijay Kumar Mishra,M,SP,49204,Gorakh Nath Pandey,M,BJP,41552,7652
233,Bhadohi,(SC),Deenanath Bhaskar,M,SP,52427,Uma Shanker,M,BSP,34609,17818
234,Barsathi,GEN,Shachindra Nath Tripathi,M,SP,41192,Dr. Parmendra Kumar Singh,M,BSP,30736,10456
235,Mariahu,GEN,Shraddha Yadav,F,SP,46363,Amit Kumar Yadav,M,BSP,41465,4898
236,Kerakat,(SC),Somaru Ram Saroj,M,BJP,41788,Nand Kishore,M,BSP,40827,961
237,Beyalsi,GEN,Jagdish Narayan (Rai),M,BSP,51224,Devanand,M,BJP,38861,12363
238,Jaunpur,GEN,Surendra Pratap,M,BJP,44965,Javed Ahamed,M,SP,42140,2825
239,Rari,GEN,Dhananjay Singh,M,IND,46300,Sriram Yadav,M,SP,33311,12989
240,Shahganj,(SC),Jagdis Sonkar,M,SP,42180,Ram Pher Gautam,M,BSP,36358,5822
241,Khutahan,GEN,Shailendra Yadav (Lalai),M,BSP,39266,Lal Chandra Yadav (Lale),M,SP,29035,10231
242,Garwara,GEN,Lal Bahadur,M,SP,51351,Seema Dwivedi,F,BJP,35096,16255
243,Machhlishahr,GEN,Vinod Kumar Singh,M,BSP,47834,Jwala Prasad Yadav,M,SP,46645,1189
244,Dudhi,(SC),Vijay Singh,M,SP,60094,Rajendra Prasad,M,BJP,39058,21036
245,Robertsganj,(SC),Parmeshwar,M,SP,34531,Ram Chandra Tyagi,M,BSP,34302,229
246,Rajgarh,GEN,Anil Kumar Maurya,M,BSP,57365,Abhoosan Brahmshah,M,INC,35869,21496
247,Chunar,GEN,Om Prakash Singh,M,BJP,56171,Prof. Tarak Nath,M,BSP,31219,24952
248,Majhwa,GEN,Dr. Ramesh Chand Vind,M,BSP,46146,Lokpati Tripathi,M,INC,29852,16294
249,Mirzapur,GEN,Kailash Chaurasiya,M,SP,42238,Dr. Sarjeet Singh Dang,M,BJP,33942,8296
250,Chhanbey,(SC),Sriram Bharti,M,BSP,53137,Bhailal,M,BJP,40576,12561
251,Meja,(SC),Ram Kripal,M,CPM,46287,Tulsi Das Rana,M,BJP,34996,11291
252,Karchana,GEN,Ujjawal Singh,M,SP,73318,Anand Kumar Alias Collector Pandey,M,BSP,61716,11602
253,Bara,GEN,Udai Bhan Karvaria,M,BJP,32981,Ram Sewak Singh Patel,M,BSP,32916,65
