const_id,const_name,category,gender,party,muslim
306,Domariaganj,GEN,M,PECP,FALSE
403,Duddhi,S.C.,F,IND,FALSE
104,Etah,GEN,M,SP,FALSE
200,Etawah,GEN,M,SP,FALSE
86,Etmadpur,GEN,M,BSP,FALSE
122,Faridpur,S.C.,M,SP,FALSE
194,Farrukhabad,GEN,M,IND,FALSE
93,Fatehabad,GEN,M,BSP,FALSE
240,Fatehpur,GEN,M,SP,FALSE
91,Fatehpur Sikri,GEN,M,BSP,FALSE
332,Fazilnagar,GEN,M,BJP,FALSE
97,Firozabad,GEN,M,BJP,FALSE
292,Gainsari,GEN,M,SP,FALSE
7,Gangoh,GEN,M,INC,FALSE
225,Garautha,GEN,M,SP,FALSE
60,Garhmukteshwar,GEN,M,SP,FALSE
301,Gaura,GEN,M,SP,FALSE
185,Gauriganj,GEN,M,SP,FALSE
218,Ghatampur,S.C.,M,SP,FALSE
56,Ghaziabad,GEN,M,BSP,FALSE
375,Ghazipur,GEN,M,SP,FALSE
400,Ghorawal,GEN,M,SP,FALSE
354,Ghosi,GEN,M,SP,FALSE
139,Gola Gokrannath,GEN,M,SP,FALSE
296,Gonda,GEN,M,SP,FALSE
344,Gopalpur,GEN,M,SP,FALSE
157,Gopamau,S.C.,M,SP,FALSE
323,Gorakhpur Rural,GEN,M,BJP,FALSE
322,Gorakhpur Urban,GEN,M,BJP,FALSE
276,Goshainganj,GEN,M,SP,FALSE
83,Goverdhan,GEN,M,BSP,FALSE
212,Govind Nagar,GEN,M,BJP,FALSE
111,Gunnaur,GEN,M,SP,FALSE
393,Gyanpur,GEN,M,SP,FALSE
272,Haidergarh,S.C.,M,SP,FALSE
228,Hamirpur,GEN,F,BJP,FALSE
258,Handia,GEN,F,SP,FALSE
59,Hapur,S.C.,M,INC,FALSE
179,Harchandpur,GEN,M,SP,FALSE
156,Hardoi,GEN,M,SP,FALSE
147,Hargaon,S.C.,M,BSP,FALSE
307,Harraiya,GEN,M,SP,FALSE
42,Hasanpur,GEN,M,SP,FALSE
45,Hastinapur,S.C.,M,SP,FALSE
334,Hata,GEN,M,SP,FALSE
78,Hathras,S.C.,M,BSP,FALSE
242,Husainganj,GEN,M,BSP,FALSE
77,Iglas,S.C.,M,RLD,FALSE
187,Isauli,GEN,M,SP,FALSE
305,Itwa,GEN,M,SP,FALSE
184,Jagdishpur,S.C.,M,INC,FALSE
238,Jahanabad,GEN,M,SP,FALSE
373,Jakhanian,S.C.,M,SP,FALSE
132,Jalalabad,GEN,M,BSP,FALSE
280,Jalalpur,GEN,M,SP,FALSE
106,Jalesar,S.C.,M,SP,FALSE
376,Jangipur,GEN,M,SP,FALSE
96,Jasrana,GEN,M,SP,FALSE
199,Jaswantnagar,GEN,M,SP,FALSE
366,Jaunpur,GEN,M,INC,FALSE
63,Jewar,GEN,M,BSP,FALSE
223,Jhansi Nagar,GEN,M,BJP,FALSE
191,Kadipur,S.C.,M,SP,FALSE
192,Kaimganj,S.C.,M,SP,FALSE
8,Kairana,GEN,M,BJP,FALSE
288,Kaiserganj,GEN,M,BJP,FALSE
220,Kalpi,GEN,F,INC,FALSE
211,Kalyanpur,GEN,M,SP,FALSE
198,Kannauj,S.C.,M,SP,FALSE
216,Kanpur Cantt.,GEN,M,BJP,FALSE
25,Kanth,GEN,M,PECP,FALSE
303,Kapilvastu,S.C.,M,SP,FALSE
308,Kaptanganj,GEN,M,BSP,FALSE
260,Karachhana,GEN,M,BSP,FALSE
110,Karhal,GEN,M,SP,FALSE
100,Kasganj,GEN,M,SP,FALSE
143,Kasta,S.C.,M,SP,FALSE
277,Katehari,GEN,M,SP,FALSE
131,Katra,GEN,M,SP,FALSE
297,Katra Bazar,GEN,M,BJP,FALSE
372,Kerakat,S.C.,M,SP,FALSE
329,Khadda,GEN,M,INC,FALSE
243,Khaga,S.C.,F,BJP,FALSE
71,Khair,S.C.,M,RLD,FALSE
325,Khajani,S.C.,M,BJP,FALSE
313,Khalilabad,GEN,M,PECP,FALSE
15,Khatauli,GEN,M,RLD,FALSE
92,Kheragarh,GEN,M,BSP,FALSE
70,Khurja,S.C.,M,INC,FALSE
215,Kidwai Nagar,GEN,M,INC,FALSE
109,Kishni,S.C.,M,SP,FALSE
46,Kithore,GEN,M,SP,FALSE
75,Koil,GEN,M,SP,FALSE
265,Koraon,S.C.,M,BSP,FALSE
246,Kunda,GEN,M,IND,FALSE
29,Kundarki,GEN,M,SP,FALSE
266,Kursi,GEN,M,SP,FALSE
333,Kushinagar,GEN,M,SP,FALSE
148,Laharpur,GEN,M,BSP,FALSE
142,Lakhimpur,GEN,M,SP,FALSE
351,Lalganj,S.C.,M,SP,FALSE
226,Lalitpur,GEN,M,BSP,FALSE
190,Lambhua,GEN,M,SP,FALSE
53,Loni,GEN,M,BSP,FALSE
175,Lucknow Cantt,GEN,F,INC,FALSE
174,Lucknow Central,GEN,M,SP,FALSE
173,Lucknow East,GEN,M,BJP,FALSE
172,Lucknow North,GEN,M,SP,FALSE
171,Lucknow West,GEN,M,SP,FALSE
369,Machhlishahr,S.C.,M,SP,FALSE
219,Madhogarh,GEN,M,BSP,FALSE
353,Madhuban,GEN,M,BSP,FALSE
311,Mahadewa,S.C.,M,SP,FALSE
318,Maharajganj,S.C.,M,SP,FALSE
217,Maharajpur,GEN,M,BJP,FALSE
285,Mahasi,GEN,M,BSP,FALSE
151,Mahmoodabad,GEN,M,SP,FALSE
230,Mahoba,GEN,M,BSP,FALSE
145,Maholi,GEN,M,SP,FALSE
107,Mainpuri,GEN,M,SP,FALSE
397,Majhawan,GEN,M,BSP,FALSE
367,Malhani,GEN,M,SP,FALSE
168,Malihabad,S.C.,M,SP,FALSE
237,Manikpur,GEN,M,BSP,FALSE
252,Manjhanpur,S.C.,M,BSP,FALSE
300,Mankapur,S.C.,M,SP,FALSE
82,Mant,GEN,M,AITC,FALSE
105,Marhara,GEN,M,SP,FALSE
399,Marihan,GEN,M,INC,FALSE
370,Mariyahu,GEN,F,SP,FALSE
284,Matera,GEN,M,SP,TRUE
84,Mathura,GEN,M,INC,TRUE
356,Mau,GEN,M,QED,TRUE
224,Mauranipur,S.C.,F,SP,TRUE
16,Meerapur,GEN,M,BSP,TRUE
119,Meerganj,GEN,M,BSP,TRUE
