const_id,const_name,party,gender,category,muslim,C&G,G&M,M&C
83,Goverdhan,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
84,Mathura,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
85,Baldev,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
86,Etmadpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
87,Agra Cantt.,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
88,Agra South,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
89,Agra North,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
90,Agra Rural,BJP,F,S.C.,FALSE,FALSE,FALSE,FALSE
91,Fatehpur Sikri,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
92,Kheragarh,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
93,Fatehabad,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
94,Bah,BJP,F,GEN,FALSE,FALSE,FALSE,FALSE
95,Tundla,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
96,Jasrana,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
97,Firozabad,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
98,Shikohabad,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
99,Sirsaganj,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
100,Kasganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
101,Amanpur,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
102,Patiyali,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
103,Aliganj,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
104,Etah,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
105,Marhara,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
106,Jalesar,BJP,M,S.C.,FALSE,FALSE,FALSE,FALSE
107,Mainpuri,SP,M,GEN,FALSE,FALSE,FALSE,FALSE
108,Bhongaon,BJP,M,GEN,FALSE,FALSE,FALSE,FALSE
109,Kishani,SP,M,S.C.,FALSE,FALSE,FALSE,FALSE
