const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
83,Malihabad,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
84,Mahona,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
85,Lucknow East,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
86,Lucknow West,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
87,Lucknow Central,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
88,Lucknow Cantonment,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
89,Sarojini Nagar,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
90,Mohanlalganj,S.C.,M,RSBP,FALSE,FALSE,FALSE,FALSE
91,Bachhrawan,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
92,Tiloi,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
93,Rae Bareli,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
94,Sataon,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
95,Sareni,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
96,Dalmau,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
97,Salon,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
98,Kunda,GEN,M,IND,FALSE,FALSE,FALSE,FALSE
99,Bihar,S.C.,M,IND,FALSE,FALSE,FALSE,FALSE
100,Rampur Khas,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
101,Gadwara,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
102,Pratapgarh,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
103,Birapur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
104,Patti,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
105,Amethi,GEN,F,INC,FALSE,FALSE,FALSE,FALSE
106,Gauriganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
107,Jagdishpur,S.C.,M,INC,FALSE,FALSE,FALSE,FALSE
108,Issauli,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
109,Sultanpur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
110,Jaisinghpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
111,Chanda,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
112,Kadipur,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
113,Katehari,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
114,Akbarpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
115,Jalalpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
116,Jahangirganj,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
117,Tanda,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
118,Ayodhya,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
119,Bikapur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
120,Milkipur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
121,Sohawal,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
122,Rudauli,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
123,Dariyabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
124,Siddhaur,S.C.,F,BSP,FALSE,TRUE,FALSE,FALSE
125,Haidergarh,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
126,Masauli,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
127,Nawabganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
128,Fatehpur,S.C.,F,BSP,FALSE,TRUE,FALSE,FALSE
129,Ramnagar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
130,Kaiserganj,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
131,Fakharpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
132,Mahsi,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
133,Nanpara,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
134,Charda,S.C.,M,SP,TRUE,FALSE,FALSE,FALSE
135,Bhinga,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
136,Bahraich,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
137,Ikauna,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
138,Gainsari,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
139,Tulsipur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
140,Balrampur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
