candidate_id,state_name,constituency_number,candidate_name_eci,sitting_mla,adr_party,eci_party,education,age,assets_number,liabilities_number,assets_minus_liabilities,criminal_cases,gender
2381,Uttar Pradesh,88,ZULFIQAR AHMAD BHUTTO,,BSP,Bahujan Samaj Party,Graduate,44,72842986,0,72842986,2,M
2382,Uttar Pradesh,88,KRISHAN GOPAL UPADHYAY,,Peace Party,Peace Party,Graduate,39,2535000,0,2535000,0,M
2383,Uttar Pradesh,88,LAKSHMAN PRASAD RAJORA,,IND,Independent,8th Pass,54,281000,0,281000,0,M
2384,Uttar Pradesh,88,LOKENDRA SHARMA,,IND,Independent,Graduate Professional,48,4314072,546063,3768009,0,M
2385,Uttar Pradesh,88,MAHIPAL SINGH,,IND,Independent,12th Pass,43,3887133,300000,3587133,0,M
2386,Uttar Pradesh,88,MUSTAKEEM,,IND,Independent,8th Pass,32,76757,0,76757,1,M
2387,Uttar Pradesh,88,NASIR ABBAS,,Bharatiya Karyasth Sena,Bharatiya Karyasth Sena,5th Pass,36,162100,0,162100,0,M
2388,Uttar Pradesh,88,NAZIR AHMED,,INC,Indian National Congress,Graduate,59,2114710975,0,2114710975,0,M
2389,Uttar Pradesh,88,PADMA AGRAWAL,,Brij Kranti Dal,Brij Kranti Dal,Literate,32,1872839,450000,1422839,0,F
2390,Uttar Pradesh,88,RAMBRIJ YADAV,,IND,Independent,Post Graduate,34,382200,162288,219912,0,M
2391,Uttar Pradesh,88,RENU SETHI,,IND,Independent,Literate,52,502500,950000,-447500,0,F
2392,Uttar Pradesh,88,ROHIT SINGH DHAKAD,,Rashtriya Lok Samta Party,Rashtriya Lok Samta Party,8th Pass,34,1850000,37000,1813000,1,M
2393,Uttar Pradesh,88,SANJAY GARG,,IND,Independent,10th Pass,41,302346,0,302346,0,M
2394,Uttar Pradesh,88,SAROJ KUMARI,,IND,Independent,Not Given,28,21155000,0,21155000,0,F
2395,Uttar Pradesh,88,SHYAM SUNDAR,,Bahujan Mukti Party,Bahujan Mukti Party,10th Pass,50,7000,0,7000,0,M
2396,Uttar Pradesh,88,THOMSAN MASSEY,,IND,Independent,8th Pass,44,57000,0,57000,0,M
2397,Uttar Pradesh,88,YOGENDRA UPADHYAYA,Y,BJP,Bharatiya Janata Party,Graduate Professional,61,18427155,0,18427155,7,M
6618,Uttar Pradesh,385,AMAR NATH,,NCP,Nationalist Congress Party,12th Pass,46,760000,0,760000,0,M
6619,Uttar Pradesh,385,ARTI,,IND,Independent,8th Pass,40,2152000,0,2152000,1,F
6620,Uttar Pradesh,385,KAILASH NATH SONKAR,,Suheldev Bhartiya Samaj Party,Suheldev Bhartiya Samaj Party,12th Pass,54,84692864,2690000,82002864,0,M
