const_id,const_name,category,gender,party,muslim
137,PALIA,GEN,M,BJP,FALSE
138,NIGHASAN,GEN,M,BJP,FALSE
139,GOLA GOKRANNATH,GEN,M,BJP,FALSE
140,SRI NAGAR,S.C.,F,BJP,FALSE
141,DHAURAHRA,GEN,M,BJP,FALSE
142,LAKHIMPUR,GEN,M,BJP,FALSE
143,KASTA,S.C.,M,BJP,FALSE
144,MOHAMMDI,GEN,M,BJP,FALSE
145,Maholi,GEN,M,BJP,FALSE
146,Sitapur,GEN,M,BJP,FALSE
147,Hargaon,S.C.,M,BJP,FALSE
148,Laharpur,GEN,M,BJP,FALSE
149,Biswan,GEN,M,BJP,FALSE
150,Sevata,GEN,M,BJP,FALSE
151,Mahmoodabad,GEN,M,SP,FALSE
152,Sidhauli,S.C.,M,BSP,FALSE
153,Misrikh,S.C.,M,BJP,FALSE
154,Sawaijpur,GEN,M,BJP,FALSE
155,Shahabad,GEN,F,BJP,FALSE
156,Hardoi,GEN,M,SP,FALSE
157,Gopamau,S.C.,M,BJP,FALSE
158,Sandi,S.C.,M,BJP,FALSE
159,Bilgram-Mallanwan,GEN,M,BJP,FALSE
160,Balamau,S.C.,M,BJP,FALSE
161,Sandila,GEN,M,BJP,FALSE
162,Bangermau,GEN,M,BJP,FALSE
163,Safipur,S.C.,M,BJP,FALSE
164,Mohan,S.C.,M,BJP,FALSE
165,Unnao,GEN,M,BJP,FALSE
166,Bhagwantnagar,GEN,M,BJP,FALSE
167,Purwa,GEN,M,BSP,FALSE
168,Malihabad,S.C.,M,BJP,FALSE
169,Bakshi Kaa Talab,GEN,M,BJP,FALSE
170,Sarojini Nagar,GEN,F,BJP,FALSE
171,Lucknow West,GEN,M,BJP,FALSE
172,Lucknow North,GEN,M,BJP,FALSE
173,Lucknow East,GEN,M,BJP,FALSE
174,Lucknow Central,GEN,M,BJP,FALSE
175,175-LUCKNOW CANTT.,GEN,F,BJP,FALSE
176,Mohanlalganj,S.C.,M,SP,FALSE
177,Bachhrawan,S.C.,M,BJP,FALSE
178,Tiloi,GEN,M,BJP,FALSE
179,Harchandpur,GEN,M,INC,FALSE
180,Rae Bareli,GEN,F,INC,FALSE
181,Salon,S.C.,M,BJP,FALSE
182,Sareni,GEN,M,BJP,FALSE
183,Unchahar,GEN,M,SP,FALSE
184,Jagdishpur,S.C.,M,BJP,FALSE
185,Gauriganj,GEN,M,SP,FALSE
186,Amethi,GEN,F,BJP,FALSE
187,Isauli,GEN,M,SP,TRUE
188,Sultanpur,GEN,M,BJP,FALSE
189,Sadar,GEN,M,BJP,FALSE
190,Lambhua,GEN,M,BJP,FALSE
191,Kadipur,S.C.,M,BJP,FALSE
192,Kaimganj,S.C.,M,BJP,FALSE
193,Amritpur,GEN,M,BJP,FALSE
194,Farrukhabad,GEN,M,BJP,FALSE
195,Bhojpur,GEN,M,BJP,FALSE
196,Chhibramau,GEN,F,BJP,FALSE
197,Tirwa,GEN,M,BJP,FALSE
198,Kannauj,S.C.,M,SP,FALSE
199,Jaswantnagar,GEN,M,SP,FALSE
200,Etawah,GEN,F,BJP,FALSE
201,Bharthana,S.C.,F,BJP,FALSE
202,Bidhuna,GEN,M,BJP,FALSE
203,Dibiyapur,GEN,M,BJP,FALSE
204,Auraiya,S.C.,M,BJP,FALSE
205,Rasulabad,S.C.,F,BJP,FALSE
206,Akbarpur - Raniya,GEN,F,BJP,FALSE
207,Sikandra,GEN,M,BJP,FALSE
208,Bhognipur,GEN,F,BJP,FALSE
209,Bilhaur,S.C.,M,BJP,FALSE
210,Bithoor,GEN,M,BJP,FALSE
211,Kalyanpur,GEN,F,BJP,FALSE
212,Govindnagar,GEN,M,BJP,FALSE
213,Sishamau,GEN,M,SP,TRUE
214,Arya Nagar,GEN,M,SP,FALSE
215,KIDWAI NAGAR,GEN,M,BJP,FALSE
216,Kanpur Cantt.,GEN,M,INC,TRUE
217,Maharajpur,GEN,M,BJP,FALSE
218,Ghatampur,S.C.,F,BJP,FALSE
219,Madhaugarh,GEN,M,BJP,FALSE
220,Kalpi,GEN,M,BJP,FALSE
221,Orai,S.C.,M,BJP,FALSE
222,Babina,GEN,M,BJP,FALSE
223,Jhansi Nagar,GEN,M,BJP,FALSE
224,Mauranipur,S.C.,M,BJP,FALSE
225,Garautha,GEN,M,BJP,FALSE
226,Lalitpur,GEN,M,BJP,FALSE
227,Mehroni,S.C.,M,BJP,FALSE
228,Hamirpur,GEN,M,BJP,FALSE
229,Rath,S.C.,F,BJP,FALSE
230,Mahoba,GEN,M,BJP,FALSE
231,Charkhari,GEN,M,BJP,FALSE
232,Tindwari,GEN,M,BJP,FALSE
233,Baberu,GEN,M,BJP,FALSE
234,Naraini,S.C.,M,BJP,FALSE
235,Banda,GEN,M,BJP,FALSE
236,Chitrakoot,GEN,M,BJP,FALSE
