const_id,const_name,category,gender,party,muslim,C&G,G&M,M&C
84,Mathura,GEN,M,INC,FALSE,FALSE,FALSE,FALSE
85,Baldev,S.C.,M,RLD,FALSE,FALSE,FALSE,FALSE
86,Etmadpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
87,Agra Cantonment,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
88,Agra South,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
89,Agra North,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
90,Agra Rural,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
91,Fatehpur Sikri,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
92,Kheragarh,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
93,Fatehabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
94,Bah,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
95,Tundla,S.C.,M,BSP,FALSE,FALSE,FALSE,FALSE
96,Jasrana,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
97,Firozabad,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
98,Shikohabad,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
99,Sirsaganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
100,Kasganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
101,Amanpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
102,Patiyali,GEN,F,SP,TRUE,FALSE,TRUE,TRUE
103,Aliganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
104,Etah,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
105,Marhara,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
106,Jalesar,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
107,Mainpuri,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
108,Bhongaon,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
109,Kishni,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
110,Karhal,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
111,Gunnaur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
112,Bisauli,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
113,Sahaswan,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
114,Bilsi,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
115,Badaun,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
116,Shekhupur,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
117,Dataganj,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
118,Baheri,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
119,Meerganj,GEN,M,BSP,TRUE,FALSE,FALSE,TRUE
120,Bhojipura,GEN,M,IEMC,TRUE,FALSE,FALSE,TRUE
121,Nawabganj,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
122,Faridpur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
123,Bithari Chainpur,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
124,Bareilly,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
125,Bareilly Cantt.,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
126,Aonla,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
127,Pilibhit,GEN,M,SP,TRUE,FALSE,FALSE,TRUE
128,Barkhera,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
129,Puranpur,S.C.,M,SP,FALSE,FALSE,FALSE,FALSE
130,Bisalpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
131,Katra,GEN,M,SP,FALSE,FALSE,FALSE,FALSE
132,Jalalabad,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
133,Tilhar,GEN,M,BSP,FALSE,FALSE,FALSE,FALSE
134,Powayan,S.C.,F,SP,FALSE,TRUE,FALSE,FALSE
135,Shahjahanpur,GEN,M,BJP,FALSE,FALSE,FALSE,FALSE
